document_number,abstract,agencies,excerpts,html_url,pdf_url,public_inspection_pdf_url,publication_date,title,type
2018-25955,Notice is hereby given that five applicants have applied in due form for a permit or permit modification to take shortnose (Acipenser brevirostrum) and Atlantic (Acipenser oxyrinchus) sturgeon for purposes of scientific research and enhancement.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]"," &#8230; , P.O. Box 719, Old <span class=""match"">Lyme</span>, Connecticut 06371 (Responsible Party: Tom &#8230; ",https://www.federalregister.gov/documents/2018/11/29/2018-25955/endangered-species-file-nos-19641-01-20340-05-20347-03-20528-02-and-22671,https://www.govinfo.gov/content/pkg/FR-2018-11-29/pdf/2018-25955.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-25955.pdf?1543412717,2018-11-29,"Endangered Species; File Nos. 19641-01, 20340-05, 20347-03, 20528-02, and 22671",Notice
2018-24968,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]"," &#8230; . Typhi Infection, S. Paratyphi Infection, <span class=""match"">Lyme</span> Disease, Invasive Haemophilus influenzae Disease &#8230; ",https://www.federalregister.gov/documents/2018/11/15/2018-24968/agency-forms-undergoing-paperwork-reduction-act-review,https://www.govinfo.gov/content/pkg/FR-2018-11-15/pdf/2018-24968.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-24968.pdf?1542203133,2018-11-15,Agency Forms Undergoing Paperwork Reduction Act Review,Notice
2018-23517,This document amends the Department of Veterans Affairs (VA) Schedule for Rating Disabilities (VASRD) by revising the section of the Rating Schedule that addresses the hematologic and lymphatic systems. This action will ensure VA uses current medical terminology and provides detailed and updated criteria for evaluating conditions pertaining to the hematologic and lymphatic systems.,"[{'raw_name': 'DEPARTMENT OF VETERANS AFFAIRS', 'name': 'Veterans Affairs Department', 'id': 520, 'url': 'https://www.federalregister.gov/agencies/veterans-affairs-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/520.json', 'parent_id': None, 'slug': 'veterans-affairs-department'}]"," &#8230;  hematological system did not include <span class=""match"">Lyme</span> disease. <span class=""match"">Lyme</span> disease is an infectious &#8230; .88b. DC 6319 specifically addresses <span class=""match"">Lyme</span> disease and its residuals. Therefore &#8230; ",https://www.federalregister.gov/documents/2018/10/29/2018-23517/schedule-for-rating-disabilities-the-hematologic-and-lymphatic-systems,https://www.govinfo.gov/content/pkg/FR-2018-10-29/pdf/2018-23517.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-23517.pdf?1540557924,2018-10-29,Schedule for Rating Disabilities: The Hematologic and Lymphatic Systems,Rule
2018-19069,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]"," &#8230; , UNITED KINGDOM; Phesi LLC, East <span class=""match"">Lyme</span>, CT; Cambridge Semantics, Boston, MA &#8230; ",https://www.federalregister.gov/documents/2018/09/04/2018-19069/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-pistoia-alliance-inc,https://www.govinfo.gov/content/pkg/FR-2018-09-04/pdf/2018-19069.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-19069.pdf?1535719524,2018-09-04,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-Pistoia Alliance, Inc.",Notice
2018-17776,"The Mid-Atlantic Fishery Management Council (Council), jointly with the Atlantic States Marine Fisheries Commission (Commission's) Summer Flounder, Scup, and Black Sea Bass Board (Board), will hold 10 public hearings, including one webinar hearing, to solicit public comments on the Draft Summer Flounder Commercial Issues and Goals and Objectives Amendment to the Summer Flounder, Scup, and Black Sea Bass Fishery Management Plan (FMP).","[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]"," &#8230;  Bourne, MA; Narragansett, RI; Old <span class=""match"">Lyme</span>, CT; Stony Brook, NY; Toms &#8230;  Building), 333 Ferry Road, Old <span class=""match"">Lyme</span>, CT 06371. 
 2. Wednesday, September &#8230; ",https://www.federalregister.gov/documents/2018/08/17/2018-17776/mid-atlantic-fishery-management-council-mafmc-public-hearings,https://www.govinfo.gov/content/pkg/FR-2018-08-17/pdf/2018-17776.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-17776.pdf?1534423526,2018-08-17,Mid-Atlantic Fishery Management Council (MAFMC); Public Hearings,Notice
2018-15051,"The Coast Guard will enforce certain safety zones located in federal regulations for recurring marine events. This action is necessary and intended for the safety of life and property on navigable waters during these events. During each enforcement period, no person or vessel may enter the respective safety zone without the permission of the Captain of the Port Buffalo.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230; . on July 14, 2018. 
 (8) <span class=""match"">Lyme</span> Community Days, Chaumont, NY; The &#8230; ",https://www.federalregister.gov/documents/2018/07/13/2018-15051/safety-zones-annual-events-in-the-captain-of-the-port-buffalo-zone-july-events,https://www.govinfo.gov/content/pkg/FR-2018-07-13/pdf/2018-15051.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-15051.pdf?1531399532,2018-07-13,Safety Zones; Annual Events in the Captain of the Port Buffalo Zone-July Events,Rule
2018-12105,"The Mid-Atlantic Fishery Management Council announces its intent to prepare, in cooperation with NMFS and the Atlantic States Marine Fisheries Commission, an amendment to the Fishery Management Plan for Bluefish. An environmental impact statement may be necessary for the amendment in accordance with the National Environmental Policy Act to analyze the impacts of any proposed management measures. The Council has initiated this amendment in order to perform a review of the sector-based allocations, commercial allocations to the states, goals and objectives of the fishery management plan, and quota transfer processes. This notice announces a public process for determining the scope of issues to be addressed, and for identifying the significant issues related to the bluefish fishery in the Greater Atlantic region. This notice is to alert the interested public of the scoping process, the potential development of a draft environmental impact statement, and to provide for public participation in that process.","[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]"," &#8230;  Center, 333 Ferry Road, Old <span class=""match"">Lyme</span>, Connecticut 06371. 
 
 
 Wednesday, July 11 &#8230; ",https://www.federalregister.gov/documents/2018/06/06/2018-12105/fisheries-of-the-northeastern-united-states-bluefish-fishery-scoping-process,https://www.govinfo.gov/content/pkg/FR-2018-06-06/pdf/2018-12105.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-12105.pdf?1528202721,2018-06-06,Fisheries of the Northeastern United States; Bluefish Fishery; Scoping Process,Notice
2018-11872,"The Coast Guard is amending its safety zones regulation for Annual Events in the Captain of the Port Buffalo Zone. This amendment updates 12 permanent safety zones and adds 12 new permanent safety zones. These amendments and additions are necessary to protect spectators, participants and vessels from the hazards associated with annual maritime events, including fireworks displays, boat races, and air shows.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  2nd weekend of July. 
 
 
 (16) <span class=""match"">Lyme</span> Community Days 
 Chaumont, NY. All &#8230; ",https://www.federalregister.gov/documents/2018/06/04/2018-11872/safety-zones-annual-events-in-the-captain-of-the-port-buffalo-zone,https://www.govinfo.gov/content/pkg/FR-2018-06-04/pdf/2018-11872.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-11872.pdf?1527857123,2018-06-04,Safety Zones; Annual Events in the Captain of the Port Buffalo Zone,Rule
2018-08206,"The Coast Guard proposes to amend its safety zones regulation for Annual Events in the Captain of the Port Buffalo Zone. This proposed amendment updates 12 permanent safety zones and adds 12 new permanent safety zones. These amendments and additions are necessary to protect spectators, participants, and vessels from the hazards associated with annual maritime events, including fireworks displays, boat races, and air shows. We invite your comments on this proposed rulemaking.","[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53.json', 'parent_id': 227, 'slug': 'coast-guard'}]"," &#8230;  2nd weekend of July. 
 
 
 (16) <span class=""match"">Lyme</span> Community Days 
 Chaumont, NY. All &#8230; ",https://www.federalregister.gov/documents/2018/04/19/2018-08206/safety-zones-annual-events-in-the-captain-of-the-port-buffalo-zone,https://www.govinfo.gov/content/pkg/FR-2018-04-19/pdf/2018-08206.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-08206.pdf?1524055528,2018-04-19,Safety Zones; Annual Events in the Captain of the Port Buffalo Zone.,Proposed Rule
2018-06608,"The National Park Service is soliciting comments on the significance of properties nominated before March 10, 2018, for listing or related actions in the National Register of Historic Places.","[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'National Park Service', 'name': 'National Park Service', 'id': 362, 'url': 'https://www.federalregister.gov/agencies/national-park-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/362.json', 'parent_id': 253, 'slug': 'national-park-service'}]"," &#8230; ., 275-287 Shore Rd., Old <span class=""match"">Lyme</span>, SG100002322 
 ILLINOIS 
 Madison County 
 Glen &#8230; ",https://www.federalregister.gov/documents/2018/04/02/2018-06608/national-register-of-historic-places-notification-of-pending-nominations-and-related-actions,https://www.govinfo.gov/content/pkg/FR-2018-04-02/pdf/2018-06608.pdf,https://s3.amazonaws.com/public-inspection.federalregister.gov/2018-06608.pdf?1522413933,2018-04-02,National Register of Historic Places; Notification of Pending Nominations and Related Actions,Notice
