document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2017-11937,"HUD proposes to add a new system of records to its inventory of systems of records, subject to the Privacy Act of 1974, as amended. This action is necessary to meet the requirements of the Privacy Act to publish in the Federal Register notice of the existence and character of records maintained by HUD. This system of records notice authorizes HUD's Enterprise Data Management (EDM) to collect and maintain information. HUD's goal is to upgrade HUD's data management, data warehousing, data mining and data security capabilities from current outdated legacy database to a more advanced warehouse model.",Notice of a new system of records.,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228.json', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",['Housing and Urban Development Department'],,2017-06-08,,,Privacy Act of 1974: Enterprise Data Management (EDM) System of Records,[],Notice,Data Mining
2017-11072,"With this notice, the Networking and Information Technology Research and Development (NITRD) National Coordination Office (NCO) requests comments from the public regarding the draft Federal Health Information Technology Research and Development Strategic Framework. The draft Strategic Framework is posted at: https://www.nitrd.gov/ drafts/HITRD_StrategicFramework_Draft.pdf.",Request for public comment.,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2017-05-30,,,Health Information Technology Research and Development (HITRD) Interagency Working Group (IWG),[],Notice,Data Mining
2017-01412,"In accordance with the Privacy Act, the United States Department of Agriculture, Office of Inspector General (USDA OIG) publishes this records notice to modify an existing system of records, USDA/OIG-8, the Research Aggregated Data Analysis Repository (RADAR) System, in order to update certain system information, including the system owner, and to clarify the records contained in the system and the purpose of the system.",Notice of a modified system of records.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Office of Inspector General'}]","['Agriculture Department', 'Office of Inspector General']",,2017-01-23,,,Privacy Act of 1974; System of Records,[],Notice,Data Mining
2016-31059,"This document proposes to establish a new Federal Motor Vehicle Safety Standard (FMVSS), No. 150, to mandate vehicle-to-vehicle (V2V) communications for new light vehicles and to standardize the message and format of V2V transmissions. This will create an information environment in which vehicle and device manufacturers can create and implement applications to improve safety, mobility, and the environment. Without a mandate to require and standardize V2V communications, the agency believes that manufacturers will not be able to move forward in an efficient way and that a critical mass of equipped vehicles would take many years to develop, if ever. Implementation of the new standard will enable vehicle manufacturers to develop safety applications that employ V2V communications as an input, two of which are estimated to prevent hundreds of thousands of crashes and prevent over one thousand fatalities annually.",Notice of Proposed Rulemaking (NPRM).,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492.json', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'National Highway Traffic Safety Administration', 'name': 'National Highway Traffic Safety Administration', 'id': 345, 'url': 'https://www.federalregister.gov/agencies/national-highway-traffic-safety-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/345.json', 'parent_id': 492, 'slug': 'national-highway-traffic-safety-administration'}]","['Transportation Department', 'National Highway Traffic Safety Administration']",,2017-01-12,True,,Federal Motor Vehicle Safety Standards; V2V Communications,"['Motor vehicle safety', 'Motor vehicles']",Proposed Rule,Data Mining
2016-29976,"The U.S. Department of Agriculture (USDA), Office of Inspector General (OIG) amends its regulation relating to organization, functions, and delegations of authority. The amendments are necessary to reflect reorganizations within OIG.",Final rule.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Office of Inspector General'}]","['Agriculture Department', 'Office of Inspector General']",2016-12-21,2016-12-21,,,"Organization, Functions, and Delegations of Authority","['Authority delegations (Government agencies)', 'Organization and functions (Government agencies)']",Rule,Data Mining
2016-30593,"The Bureau of Reclamation is announcing the following prize competition, Sub-Seasonal Climate Forecast Rodeo. This Challenge seeks to improve on existing sub-seasonal forecasts and asks Solvers (i.e., competitors in the Challenge) to develop systems that perform demonstratively better than existing baseline forecasts for temperature and precipitation over a 15-42-day time frame. Solvers will have approximately 3 months to develop their system, at which point they are asked to provide forecasts every 2 weeks over a 13-month period, with the first month being a ``pre-season'' to become familiar with the submission and evaluation processes.",Notice.,"[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Bureau of Reclamation', 'name': 'Reclamation Bureau', 'id': 446, 'url': 'https://www.federalregister.gov/agencies/reclamation-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/446.json', 'parent_id': 253, 'slug': 'reclamation-bureau'}]","['Interior Department', 'Reclamation Bureau']",,2016-12-20,,,Announcement of Requirements and Registration for a Prize Competition Titled: Sub-Seasonal Climate Forecast Rodeo,[],Notice,Data Mining
2016-29126,"The Secretary issues final regulations under title I, part B of the Elementary and Secondary Education Act of 1965 (ESEA) to implement changes made to the ESEA by the Every Student Succeeds Act (ESSA) enacted on December 10, 2015, including the ability of the Secretary to provide demonstration authority to a State educational agency (SEA) to pilot an innovative assessment and use it for accountability and reporting purposes under title I, part A of the ESEA before scaling such an assessment statewide.",Final regulations.,"[{'raw_name': 'DEPARTMENT OF EDUCATION', 'name': 'Education Department', 'id': 126, 'url': 'https://www.federalregister.gov/agencies/education-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/126.json', 'parent_id': None, 'slug': 'education-department'}]",['Education Department'],2017-01-09,2016-12-08,False,,Every Student Succeeds-Innovative Assessment Demonstration Authority,"['Elementary and secondary education', 'Grant programs-education', 'Indians-education', 'Juvenile delinquency', 'Migrant labor', 'Private schools', 'Reporting and recordkeeping requirements']",Rule,Data Mining
2016-25240,"The Medicare Access and CHIP Reauthorization Act of 2015 (MACRA) repeals the Medicare sustainable growth rate (SGR) methodology for updates to the physician fee schedule (PFS) and replaces it with a new approach to payment called the Quality Payment Program that rewards the delivery of high-quality patient care through two avenues: Advanced Alternative Payment Models (Advanced APMs) and the Merit-based Incentive Payment System (MIPS) for eligible clinicians or groups under the PFS. This final rule with comment period establishes incentives for participation in certain alternative payment models (APMs) and includes the criteria for use by the Physician-Focused Payment Model Technical Advisory Committee (PTAC) in making comments and recommendations on physician-focused payment models (PFPMs). Alternative Payment Models are payment approaches, developed in partnership with the clinician community, that provide added incentives to deliver high-quality and cost-efficient care. APMs can apply to a specific clinical condition, a care episode, or a population. This final rule with comment period also establishes the MIPS, a new program for certain Medicare-enrolled practitioners. MIPS will consolidate components of three existing programs, the Physician Quality Reporting System (PQRS), the Physician Value-based Payment Modifier (VM), and the Medicare Electronic Health Record (EHR) Incentive Program for Eligible Professionals (EPs), and will continue the focus on quality, cost, and use of certified EHR technology (CEHRT) in a cohesive program that avoids redundancies. In this final rule with comment period we have rebranded key terminology based on feedback from stakeholders, with the goal of selecting terms that will be more easily identified and understood by our stakeholders.",Final rule with comment period.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2017-01-01,2016-11-04,False,,"Medicare Program; Merit-Based Incentive Payment System (MIPS) and Alternative Payment Model (APM) Incentive Under the Physician Fee Schedule, and Criteria for Physician-Focused Payment Models","['Administrative practice and procedure', 'Biologics', 'Drugs', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Health records', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Reporting and recordkeeping requirements']",Rule,Data Mining
2016-22129,"This final rule details the requirements for submitting registration and summary results information, including adverse event information, for specified clinical trials of drug products (including biological products) and device products and for pediatric postmarket surveillances of a device product to ClinicalTrials.gov, the clinical trial registry and results data bank operated by the National Library of Medicine (NLM) of the National Institutes of Health (NIH). This rule provides for the expanded registry and results data bank specified in Title VIII of the Food and Drug Administration Amendments Act of 2007 (FDAAA) to help patients find trials for which they might be eligible, enhance the design of clinical trials and prevent duplication of unsuccessful or unsafe trials, improve the evidence base that informs clinical care, increase the efficiency of drug and device development processes, improve clinical research practice, and build public trust in clinical research. The requirements apply to the responsible party (meaning the sponsor or designated principal investigator) for certain clinical trials of drug products (including biological products) and device products that are regulated by the Food and Drug Administration (FDA) and for pediatric postmarket surveillances of a device product that are ordered by FDA.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}]",['Health and Human Services Department'],2017-01-18,2016-09-21,True,,Clinical Trials Registration and Results Information Submission,"['Biologics', 'Drugs', 'Human research subjects', 'Medical devices', 'Medical research', 'Reporting and recordkeeping requirements']",Rule,Data Mining
2016-22269,"This proposed rule would amend the regulation governing State Medicaid Fraud Control Units (MFCUs or Units). The proposed rule would incorporate statutory changes affecting the MFCUs as well as policy and practice changes that have occurred since the regulation was initially issued in 1978. These changes include a codification of OIG's delegated authority, MFCU authority, functions, and responsibilities; disallowances; and issues related to organization, prosecutorial authority, staffing, recertification, and the MFCUs' relationship with Medicaid agencies.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}, {'raw_name': 'Office of Inspector General'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services', 'Office of Inspector General']",,2016-09-20,False,,Medicaid; Revisions to State Medicaid Fraud Control Unit Rules,"['Administrative practice and procedure', 'Fraud', 'Grant programs-health', 'Health facilities', 'Health professions', 'Investigations', 'Medicaid', 'Reporting and recordkeeping requirements', 'Reporting and recordkeeping requirements']",Proposed Rule,Data Mining
