document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2018-25897,,,"[{'raw_name': 'MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION', 'name': 'Morris K. Udall and Stewart L. Udall Foundation', 'id': 296, 'url': 'https://www.federalregister.gov/agencies/morris-k-udall-and-stewart-l-udall-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/296.json', 'parent_id': None, 'slug': 'morris-k-udall-and-stewart-l-udall-foundation'}]",['Morris K. Udall and Stewart L. Udall Foundation'],,2018-11-26,,,Sunshine Act Meetings,[],Notice,Data Science
2018-25241,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2018-11-20,,,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-Pistoia Alliance, Inc.",[],Notice,Data Science
2018-24150,"In compliance with the requirement of the Paperwork Reduction Act of 1995 to provide opportunity for public comment on proposed data collection projects, the National Institutes of Health Office of Intramural Training & Education (OITE) will publish periodic summaries of propose projects to be submitted to the Office of Management and Budget (OMB) for review and approval.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2018-11-05,,,"Proposed Collection; 60-Day Comment Request; NIH Office of Intramural Training & Education-Application, Registration, and Alumni Systems, Office of the Director",[],Notice,Data Science
2018-23092,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2018-10-23,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-Information Warfare Research Project Consortium,[],Notice,Data Science
2018-21670,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2018-10-05,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Science
2018-16766,"We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2019. Some of these changes implement certain statutory provisions contained in the 21st Century Cures Act and the Bipartisan Budget Act of 2018, and other legislation. We also are making changes relating to Medicare graduate medical education (GME) affiliation agreements for new urban teaching hospitals. In addition, we are providing the market basket update that will apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2019. We are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long- term care hospitals (LTCHs) for FY 2019. In addition, we are establishing new requirements or revising existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are establishing new requirements or revising existing requirements for eligible professionals (EPs), eligible hospitals, and critical access hospitals (CAHs) participating in the Medicare and Medicaid Electronic Health Record (EHR) Incentive Programs (now referred to as the Promoting Interoperability Programs). In addition, we are finalizing modifications to the requirements that apply to States operating Medicaid Promoting Interoperability Programs. We are updating policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital- Acquired Condition (HAC) Reduction Program. We also are making changes relating to the required supporting documentation for an acceptable Medicare cost report submission and the supporting information for physician certification and recertification of claims.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2018-10-01,2018-08-17,False,,"Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2019 Rates; Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Electronic Health Record (EHR) Incentive Programs (Promoting Interoperability Programs) Requirements for Eligible Hospitals, Critical Access Hospitals, and Eligible Professionals; Medicare Cost Reporting Requirements; and Physician Certification and Recertification of Claims","['Administrative practice and procedure', 'Emergency medical services', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Privacy', 'Puerto Rico', 'Reporting and recordkeeping requirements']",Rule,Data Science
2018-16615,"The Executive Office of the President seeks input from across sectors and disciplines on capabilities that already exist as well as key considerations in pursuing the Government Effectiveness Advanced Research (GEAR) Center initiative through a request for information (RFI) now available on www.Performance.gov/GEARcenter. The Federal Government intends to pursue a Government Effectiveness Advanced Research (GEAR) Center, which would be a public-private partnership focused on applied research that improves mission delivery, citizen services, and stewardship of public resources, as proposed in Delivering Government Solutions for the 21st Century: Reform Plan and Reorganization Recommendations. This non-governmental, public-private partnership would address operational and strategic challenges facing the Federal Government, both now and into the future, by engaging researchers, academics, non-profits, and private industry across an array of disciplines, such as data science, organizational behavior, and user-centered design. Through applied research and live pilot testing, the GEAR Center would connect cutting-edge thinking with real-world challenges the Federal Government faces in serving Americans in the Digital Age. This means re-imagining possibilities for how citizens interact with the Government; rethinking the delivery of citizen services and data; reforming core processes (e.g., procurement, budget, IT investment and capital allocation); and exploring how the public-sector workforce can be developed, reskilled and redeployed in creative ways.",Notice of request for information: Establishing a Government Effectiveness Advanced Research (GEAR) Center.,"[{'raw_name': 'OFFICE OF MANAGEMENT AND BUDGET', 'name': 'Management and Budget Office', 'id': 280, 'url': 'https://www.federalregister.gov/agencies/management-and-budget-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/280.json', 'parent_id': None, 'slug': 'management-and-budget-office'}]",['Management and Budget Office'],,2018-08-03,,,Notice of Request for Information: Establishing a Government Effectiveness Advanced Research (GEAR) Center,[],Notice,Data Science
2018-15077,"The National Institute of Standards and Technology (NIST) on behalf of the Department of Commerce and the National Security Council is seeking information on the scope and sufficiency of efforts to educate, train, and attract the workforce necessary to meet the demands of the current and future semiconductor industry, in support of the President's National Security Strategy.",Notice; Request for Information (RFI).,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Institute of Standards and Technology', 'name': 'National Institute of Standards and Technology', 'id': 352, 'url': 'https://www.federalregister.gov/agencies/national-institute-of-standards-and-technology', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/352.json', 'parent_id': 54, 'slug': 'national-institute-of-standards-and-technology'}]","['Commerce Department', 'National Institute of Standards and Technology']",,2018-07-16,,,Current and Future Workforce Needs to Support a Strong Domestic Semiconductor Industry,[],Notice,Data Science
2018-14075,The Administrative Conference of the United States adopted three recommendations at its Sixty-Ninth Plenary Session. The appended recommendations address: Paperwork Reduction Act Efficiencies; Severability in Agency Rulemaking (formerly titled Minimizing the Cost of Judicial Review; and Electronic Case Management in Federal Administrative Adjudication. A fourth recommendation on the topic of Administrative Judges was recommitted to the committee of jurisdiction for further consideration. A working group convened by the Office of the Chairman presented the Conference's Model Adjudication Rules (rev. 2018).,Notice.,"[{'raw_name': 'ADMINISTRATIVE CONFERENCE OF THE UNITED STATES', 'name': 'Administrative Conference of the United States', 'id': 566, 'url': 'https://www.federalregister.gov/agencies/administrative-conference-of-the-united-states', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/566.json', 'parent_id': None, 'slug': 'administrative-conference-of-the-united-states'}]",['Administrative Conference of the United States'],,2018-06-29,,,Adoption of Recommendations,[],Notice,Data Science
2018-13768,"In March 2018, the Trump Administration launched the President's Management Agenda (PMA). It lays out a long-term vision for modernizing the Federal Government in key areas that will improve the ability of agencies to deliver mission outcomes, provide excellent service, and effectively steward taxpayer dollars on behalf of the American people. The PMA established a Cross-Agency Priority (CAP) goal of Leveraging Data as a Strategic Asset with an intended purpose of guiding development of a comprehensive long-term Federal Data Strategy to grow the economy, increase the effectiveness of the Federal Government, facilitate oversight, and promote transparency (https:// www.performance.gov/CAP/CAP_goal_2.html). This notice seeks comment on best strategies and processes for achieving this CAP goal. In addition to this request, two additional future requests for comment in September and December will inform draft federal data practices and a year-1 action plan.",Notice and request for comments.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}]",['Commerce Department'],,2018-06-27,,,Request for Comments on the Cross-Agency Priority Goal: Leveraging Data as a Strategic Asset,[],Notice,Data Science
2018-06555,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2018-04-02,,,National Library of Medicine Notice of Closed Meetings,[],Notice,Data Science
2018-06198,This notice announces a meeting of the DOE/Biological and Environmental Research Advisory Committee (BERAC). The Federal Advisory Committee Act requires that public notice of these meetings be announced in the Federal Register.,Notice of open meeting.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2018-03-28,,,Biological and Environmental Research Advisory Committee,[],Notice,Data Science
2017-28502,"NTIS invites nomination of individuals for appointment to the National Technical Information Service Advisory Board (Board or Committee). NTIS will consider nominations received in response to this notice for appointment to the Committee, in addition to nominations already received.",Request for nominations.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Technical Information Service (NTIS', 'name': 'National Technical Information Service', 'id': 372, 'url': 'https://www.federalregister.gov/agencies/national-technical-information-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/372.json', 'parent_id': 54, 'slug': 'national-technical-information-service'}]","['Commerce Department', 'National Technical Information Service']",,2018-01-05,,,National Technical Information Service Advisory Board,[],Notice,Data Science
2017-26148,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2017-12-05,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Science
2017-21255,"In accordance with the Federal Advisory Committee Act, as amended, the National Aeronautics and Space Administration (NASA) announces a meeting of the Ad Hoc Big Data Task Force (BDTF). This task force reports to the NASA Advisory Council's Science Committee. The meeting will be held for the purpose of soliciting and discussing, from the scientific community and other persons, scientific and technical information relevant to big data.",Notice of meeting.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],,2017-10-04,,,NASA Advisory Council; Science Committee; Ad Hoc Task Force on Big Data; Meeting,[],Notice,Data Science
2017-10499,"In accordance with the Federal Advisory Committee Act, as amended, the National Aeronautics and Space Administration (NASA) announces a meeting of the Ad Hoc Task Force on Big Data. This task force reports to the NASA Advisory Council's Science Committee. The meeting will be held for the purpose of soliciting and discussing, from the scientific community and other persons, scientific and technical information relevant to big data.",Notice of meeting.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],,2017-05-23,,,NASA Advisory Council Science Committee Ad Hoc Task Force on Big Data; Meeting,[],Notice,Data Science
2016-31438,"The National Toxicology Program (NTP) at the National Institute of Environmental Health Sciences announces the webinar series, ``Using Informatics to Improve Data Analysis of Chemical Screening Assays Conducted in Zebrafish.'' The webinars will provide an overview of current issues that need to be addressed to facilitate the broader use of zebrafish for chemical safety screening studies and how data science can be applied to address some of those issues.",,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2016-12-29,,,Using Informatics To Improve Data Analysis of Chemical Screening Assays Conducted in Zebrafish; Notice of Webinars; Registration Information,[],Notice,Data Science
