abstract	title
The Food and Drug Administration (FDA), in collaboration with the Association of Food and Drug Officials (AFDO), is announcing the following public workshop entitled ``Pathways to Global Unity.'' This 2\1/2\-day public workshop is intended to provide information about FDA drug and device regulation to the regulated industries.	Pathways to Global Unity; Public Workshop
The Food and Drug Administration (FDA) Cincinnati District, in co-sponsorship with Xavier University, is announcing a public conference entitled ``FDA/Xavier University PharmaLink Conference: Leadership in a Global Supply Chain.'' The PharmaLink conference seeks solutions to important and complicated issues by aligning with the strategic priorities of FDA, and includes presentations from key FDA officials and industry experts.	Food and Drug Administration/Xavier University PharmaLink Conference-Leadership in a Global Supply Chain
The Food and Drug Administration (FDA) announces its intention to accept and consider a single source application for an award of a cooperative agreement to the World Health Organization (WHO) in support of collaborative efforts to advance innovative approaches to vaccine clinical trial design and to enhance the utilization of a range of pharmacovigilance tools as a means to further vaccine safety and potentially facilitate more rapid introduction of new vaccines. The goal of FDA's Center for Biologics Evaluation and Research (CBER) is to enhance technical collaboration and cooperation between FDA, WHO, and its Member States to facilitate strengthening regulatory capacity globally.	Cooperative Agreement To Support Innovation in Vaccine Clinical Trial Design and Collaboration in Pharmacovigilance To Advance Global Access to Safe and Effective Vaccines
The National Institute of Child Health & Human Development is seeking at least one Collaborator to participate in a CRADA to develop computer software that will assist in the diagnostic and clinical management of amenorrhea.	National Institute of Child Health & Human Development (NICHD): Opportunity for Cooperative Research and Development Agreement (CRADA)
The Food and Drug Administration (FDA) is announcing the availability of a document entitled ``FDA Plan for Statutory Compliance'' (the plan). This document is the agency's response to section 406(b) of the Food and Drug Administration Modernization Act of 1997 (FDAMA), which requires the Secretary of the Department of Health and Human Services (the Secretary) to develop a plan bringing the agency into compliance with the requirements of the Federal Food, Drug, and Cosmetic Act (the act).	FDA Plan for Statutory Compliance
	Government-Owned Inventions; Availability for Licensing
On March 18, 2019 the National Institute for Occupational Safety and Health (NIOSH) of the Centers for Disease Control and Prevention (CDC) published a notice in the Federal Register announcing that NIOSH had recently established a research program to address the rapidly expanding area of automation and associated technologies in mining, and that NIOSH was requesting information to inform the prioritization of research to be undertaken by The Institute's Mining Program. NIOSH is seeking input on priority gaps in knowledge regarding the safety and health implications of humans working with automated equipment and associated technologies in mining, with an emphasis on worker safety and health research in which NIOSH has the comparative advantage, and is unlikely to be undertaken by other federal agencies, academia, or the private sector. Written comments were to be received by May 17, 2019. In response to a request from an interested party, NIOSH is announcing the reopening of the comment period.	Mining Automation and Safety Research Prioritization; Reopening of Comment Period
We are proposing to revise the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2020 and to implement certain recent legislation. We also are proposing to make changes relating to Medicare graduate medical education (GME) for teaching hospitals and payments to critical access hospital (CAHs). In addition, we are proposing to provide the market basket update that would apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2020. We are proposing to update the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2020. In this proposed rule, we are including proposals to address wage index disparities between high and low wage index hospitals; to provide for an alternative IPPS new technology add-on payment pathway for certain transformative new devices; and to revise the calculation of the IPPS new technology add-on payment. In addition, we are requesting public comments on the substantial clinical improvement criterion used for evaluating applications for both the IPPS new technology add-on payment and the OPPS transitional pass- through payment for devices, and we discuss potential revisions that we are considering adopting as final policies related to the substantial clinical improvement criterion for applications received beginning in FY 2020 for IPPS (that is, for FY 2021 and later new technology add-on payments) and beginning in CY 2020 for the OPPS. We are proposing to establish new requirements or revise existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are proposing to establish new requirements and revise existing requirements for eligible hospitals and critical access hospitals (CAHs) participating in the Medicare and Medicaid Promoting Interoperability Programs. We are proposing to update policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.	Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2020 Rates; Proposed Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Promoting Interoperability Programs Proposed Requirements for Eligible Hospitals and Critical Access Hospitals
The National Institute for Occupational Safety and Health (NIOSH) of the Centers for Disease Control and Prevention (CDC) has recently established a research program to address the rapidly expanding area of automation and associated technologies in mining. NIOSH is requesting information to inform the prioritization of research to be undertaken by The Institute's Mining Program. NIOSH is seeking input on priority gaps in knowledge regarding the safety and health implications of humans working with automated equipment and associated technologies in mining, with an emphasis on worker safety and health research in which NIOSH has the comparative advantage, and is unlikely to be undertaken by other federal agencies, academia, or the private sector.	Mining Automation and Safety Research Prioritization
This proposed rule would implement certain provisions of the 21st Century Cures Act, including conditions and maintenance of certification requirements for health information technology (health IT) developers under the ONC Health IT Certification Program (Program), the voluntary certification of health IT for use by pediatric health care providers, and reasonable and necessary activities that do not constitute information blocking. The implementation of these provisions would advance interoperability and support the access, exchange, and use of electronic health information. The proposed rule would also modify the 2015 Edition health IT certification criteria and Program in additional ways to advance interoperability, enhance health IT certification, and reduce burden and costs.	21st Century Cures Act: Interoperability, Information Blocking, and the ONC Health IT Certification Program
The Administration for Children and Families (ACF) has realigned The Office of the Deputy Assistant Secretary for Administration (ODASA). This realignment removes the Office of the Chief Information Officer as a direct report to the Assistant Secretary for Children and Families and realigns the Office within the ODASA. It moves the National Grants Center of Excellence to the ODASA's Immediate Office. It also removes the Ethics and Facilities team from the Immediate Office of the ODASA and places the functions in the Office of Workforce Planning and Development.	Office of the Deputy Assistant Secretary for Administration Statement of Organization, Functions, and Delegations of Authority
The Food and Drug Administration (FDA, the Agency, or we) is announcing the following public workshop entitled ``Leveraging Quantitative Methods and Modeling to Modernize Generic Drug Development and Review.'' The purpose of the public workshop is to engage stakeholders in a discussion of current and emerging scientific approaches and applications for the conduct of quantitative modeling and simulations in generic drug development, especially for complex and locally acting products, and to gain input regarding opportunities and knowledge gaps related to the use of quantitative modeling and simulation to inform regulatory decision making through the product lifecycle. FDA will use the information gained through the workshop to support product-specific guidance development, improve pre-abbreviated new drug applications (ANDA) interactions with applicants, increase the quality and efficiency of regulatory reviews, and identify a next generation modeling and simulation toolset for complex and locally acting products.	Leveraging Quantitative Methods and Modeling To Modernize Generic Drug Development and Review; Public Workshop; Request for Comments
The Office of Pediatric Therapeutics, Food and Drug Administration (FDA), is announcing a public workshop entitled ``Advancing the Development of Pediatric Therapeutics (ADEPT): Application of ``Big Data'' to Pediatric Safety Studies.'' The purpose of this 2-day workshop is to understand how to access and analyze ``Big Data'' associated with safety information in the health care setting, and the utility and challenges associated with the use of ``Big Data'' to study the safety of therapeutics in children.	Advancing the Development of Pediatric Therapeutics: Application of “Big Data” to Pediatric Safety Studies; Public Workshop
The Food and Drug Administration (FDA) Cincinnati District, in co-sponsorship with Xavier University, is announcing a public conference entitled ``FDA/Xavier University PharmaLink Conference: Leadership in a Global Supply Chain.'' The PharmaLink conference seeks solutions to important and complicated issues by aligning with the strategic priorities of FDA, and includes presentations from key FDA officials and industry experts.	Food and Drug Administration/Xavier University PharmaLink Conference-Leadership in a Global Supply Chain
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
	Office of the Director, National Institutes of Health; Notice of Meeting
The Medicare Access and CHIP Reauthorization Act of 2015 (MACRA) repeals the Medicare sustainable growth rate (SGR) methodology for updates to the physician fee schedule (PFS) and replaces it with a new approach to payment called the Quality Payment Program that rewards the delivery of high-quality patient care through two avenues: Advanced Alternative Payment Models (Advanced APMs) and the Merit-based Incentive Payment System (MIPS) for eligible clinicians or groups under the PFS. This final rule with comment period establishes incentives for participation in certain alternative payment models (APMs) and includes the criteria for use by the Physician-Focused Payment Model Technical Advisory Committee (PTAC) in making comments and recommendations on physician-focused payment models (PFPMs). Alternative Payment Models are payment approaches, developed in partnership with the clinician community, that provide added incentives to deliver high-quality and cost-efficient care. APMs can apply to a specific clinical condition, a care episode, or a population. This final rule with comment period also establishes the MIPS, a new program for certain Medicare-enrolled practitioners. MIPS will consolidate components of three existing programs, the Physician Quality Reporting System (PQRS), the Physician Value-based Payment Modifier (VM), and the Medicare Electronic Health Record (EHR) Incentive Program for Eligible Professionals (EPs), and will continue the focus on quality, cost, and use of certified EHR technology (CEHRT) in a cohesive program that avoids redundancies. In this final rule with comment period we have rebranded key terminology based on feedback from stakeholders, with the goal of selecting terms that will be more easily identified and understood by our stakeholders.	Medicare Program; Merit-Based Incentive Payment System (MIPS) and Alternative Payment Model (APM) Incentive Under the Physician Fee Schedule, and Criteria for Physician-Focused Payment Models
	Center for Scientific Review; Notice of Closed Meetings
	Office of the Director; Notice of Meeting
Statement of Organizations, Functions, and Delegations of Authority. The Administration for Children and Families (ACF) has reorganized the Office of the Deputy Assistant Secretary for Administration (ODASA). This reorganization moves the Office of Information Services from ODASA and establishes it as the new Office of the Chief Information Officer, which reports directly to the Assistant Secretary for Children and Families.	Statement of Organization, Functions, and Delegations of Authority: Office of the Deputy Assistant Secretary for Administration; Office of the Assistant Secretary
	Center for Scientific Review; Notice of Closed Meeting
	National Committee on Vital and Health Statistics: Meeting; Privacy, Security & Confidentiality Subcommittee
	Office of the Director, National Institutes of Health; Notice of Meeting
	Center for Scientific Review; Notice of Closed Meetings
The Food and Drug Administration (FDA) is announcing the following public workshop entitled, ``Advancing the Development of Biomarkers in Traumatic Brain Injury.'' This workshop aims to examine potential biomarkers, discuss the challenges and solutions related to biomarker development methodologies, and establish strategies for data standardization, sharing and analysis of big data sets for traumatic brain injury (TBI). By convening the relevant stakeholders, the goal is to obtain input on the scientific, clinical, patient, and regulatory considerations associated with TBI biomarker development to improve diagnosis and clinical utility for TBI.	Advancing the Development of Biomarkers in Traumatic Brain Injury; Public Workshop; Request for Comments
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
	Office of the Director; Amended Notice of Meeting
	Office of The Director, National Institutes of Health; Notice of Meeting
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
The Office of the National Coordinator for Health Information Technology (ONC) is seeking applications to the Health Information Technology Policy Committee (HITPC) and the Health Information Technology Standards Committee (HITSC). Name of Committees: Health IT Standards Committee and Health IT Policy Committee. General Function of the Committees: The HITPC is charged to provide recommendations to the National Coordinator on a policy framework for the development and adoption of a nationwide health information technology infrastructure that permits the electronic exchange and use of health information as is consistent with the Federal Health IT Strategic Plan and that includes recommendations on the areas in which standards, implementation specifications, and certification criteria are needed. The HITSC is charged to provide recommendations to the National Coordinator on standards, implementation specifications, and certification criteria for the electronic exchange and use of health information for purposes of adoption, consistent with the implementation of the Federal Health IT Strategic Plan, and in accordance with policies developed by the Health IT Policy Committee. Date and Time: Applications must be received by 12:00 p.m. on Friday, September 11, 2015. Contact Person: Michelle Consolazio, phone: (202) 341-6144, email: michelle.consolazio@hhs.gov . Background: The Health IT Policy Committee was established under the American Recovery and Reinvestment Act 2009 (ARRA)(P.L. 111-5), section 13101, new Section 3002. Members of the Health IT Policy Committee are appointed in the following manner: 3 members appointed by the Secretary, HHS; 4 members appointed by Congress; 13 members appointed by the Comptroller General of the United States; and other federal members appointed by the President. Applications are being accepted for one of the three members appointed by the Secretary of HHS. Nominees of the HITPC should have experience promoting the meaningful use of health information technology and be knowledgeable in privacy and security issues related to health information. The Health IT Standards Committee was established under the American Recovery and Reinvestment Act 2009 (ARRA) (Pub. L. 111-5), section 13101, new Section 3003. Members of the Health IT Standards Committee are appointed by the Secretary, HHS and shall at least reflect providers, ancillary healthcare workers, consumers, purchasers, health plans, technology vendors, researchers, relevant Federal agencies, and individuals with technical expertise on health care quality, privacy and security, and on the electronic exchange and use of health information. Nominees of the HITSC should have experience promoting the meaningful use of health information technology and be knowledgeable in areas such as: small innovative health care providers, providers participating in payment reform initiatives, accountable care organizations, pharmacists, behavioral health professionals, home health care, purchaser or employer representatives, patient safety, health information technology security, big data, consumer e-health, personal health records, and mobile health applications. Members will be selected in order to achieve a balanced representation of viewpoints, areas of experience, subject matter expertise, and representation of the health care system. Terms will be three (3) years from the appointment date to either the HITSC or HITPC. Members on both Committees serve without pay. However, members will be provided per diem and travel costs for Committee services. The HITPC will be seeking applications for the following area of expertise: <bullet> Consumer/Patient Representative The HITSC will be seeking applications for the following areas of expertise: <bullet> Technical Expertise, Small Innovative Provider <bullet> Technical Expertise, CIO <bullet> Health Plans Representative <bullet> Technical Expertise, Health IT (2) <bullet> Purchaser/Employer Representative <bullet> Long-term Care Representative <bullet> Ancillary Healthcare Worker Representative For more information about the HITPC please visit: http:// www.healthit.gov/facas/health-it-policy-committee For more information about the HITSC please visit: http:// www.healthit.gov/facas/health-it-standards-committee. Submitting Applications: Applications should be submitted electronically through the application database FACA application page on the HealthIT.gov Web site at: http://www.healthit.gov/facas/faca- workgroup-membership-application. All applications must be compiled and submitted in one complete package. An application package must include: A short bio, a current CV including contact information and memberships with professional organizations/advisory committees, and two letters of support.	Health IT Policy Committee and Health IT Standards Committee; Call for Applications
	Center For Scientific Review; Notice of Closed Meetings
The National Institute on Drug Abuse (NIDA), a component of the National Institutes of Health (NIH), is seeking from the general public ideas on how to adapt specialized knowledge from other disciplines to inform new directions and discoveries in drug abuse and addiction research. With the ``Harnessing insights from other disciplines to advance drug abuse and addiction research'' challenge (the ``Challenge''), NIDA aims to gain insights into new methods or approaches that could transform discovery in order to significantly expand our basic knowledge about drug abuse and addiction processes, accelerate the development of novel and more effective prevention and treatment strategies, and/or enhance our capacity to implement, monitor, and improve upon evidence-based interventions. This Challenge is soliciting written proposals that outline novel approaches to addressing research challenges in the drug use and addiction field by leveraging concepts or technologies from other disciplines. This Challenge is being issued as part of NIDA's strategic planning process for 2016-2020. Winning proposals may be used to guide the development of new research programs within NIDA.	Announcement of Requirements and Registration for: “Harnessing Insights From Other Disciplines To Advance Drug Abuse and Addiction Research” Challenge
The Draft National Nutrition Research Roadmap (NNRR) identifies research priorities for human nutrition and describes the role of ICHNR departments and agencies in addressing those priorities over the next five to ten years. ICHNR seeks input about identified research and resource gaps and opportunities and the short- and long- term initiatives proposed to address them. To review the NNRR, please visit https://prevention.nih.gov/nnrr.	Request From the Interagency Committee on Human Nutrition Research (ICHNR) for Comments on the Draft National Nutrition Research Roadmap 2015-2020: Advancing Nutrition Research To Improve and Sustain Health
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
Pursuant to Section 10(a) of the Federal Advisory Committee Act, U.S.C. Appendix 2, notice is hereby given that the Secretary's Advisory Committee on Human Research Protections (SACHRP) will hold a meeting that will be open to the public. Information about SACHRP and the full meeting agenda will be posted on the SACHRP Web site at: http://www.dhhs.gov/ohrp/sachrp/mtgings/index.html.	Meeting of the Secretary's Advisory Committee on Human Research Protections
The Office of the National Coordinator for Health Information Technology (ONC) is seeking nominations to the Health Information Technology Standards Committee (HITSC) to fill expiring terms of ten (10) current members. Name of Committee: Health IT Standards Committee. General Function of the Committee: The HITSC is charged with making recommendations to the National Coordinator on standards, implementation specifications, and certification criteria for the electronic exchange and use of health information for purposes of adoption, consistent with the implementation of the Federal Health IT Strategic Plan, and in accordance with policies developed by the Health IT Policy Committee. Date and Time: Nominations must be received by 12:00 p.m. on Friday, March 6, 2015. Contact Person: Michelle Consolazio, phone: 781-710-0786, email: michelle.consolazio@hhs.gov. Background: The Health IT Standards Committee was established under the American Recovery and Reinvestment Act 2009 (ARRA) (Pub. L. 111-5), section 13101, new Section 3003. Members of the Health IT Standards Committee are appointed by the Secretary, HHS and shall at least reflect providers, ancillary healthcare workers, consumers, purchasers, health plans, technology vendors, researchers, relevant Federal agencies, and individuals with technical expertise on health care quality, privacy and security, and on the electronic exchange and use of health information. Nominees of the HITSC should have experience promoting the meaningful use of health information technology and be knowledgeable in areas such as: small innovative health care providers, providers participating in payment reform initiatives, accountable care organizations, pharmacists, behavioral health professionals, home health care, purchaser or employer representatives, patient safety, health information technology security, big data, consumer e-health, personal health records, and mobile health. Members will be selected to achieve a balanced representation of viewpoints, areas of experience, subject matter expertise, and representation across the health care system. Terms will be three (3) years from the appointment date. Members of the Committee serve without pay; however, members will be provided per diem and travel costs for Committee services. The HITSC is seeking applicants with the following areas of expertise:	Health IT Standards Committee; Call for Nominations
	Center for Scientific Review; Notice of Closed Meetings
Pursuant to Section 10(a) of the Federal Advisory Committee Act, U.S.C. Appendix 2, notice is hereby given that the Secretary's Advisory Committee on Human Research Protections (SACHRP) will hold a meeting that will be open to the public. Information about SACHRP and the full meeting agenda will be posted on the SACHRP Web site at: http://www.dhhs.gov/ohrp/sachrp/mtgings/index.html.	Meeting of the Secretary's Advisory Committee on Human Research Protections
	Center for Scientific Review; Notice of Closed Meetings
	Center for Scientific Review; Notice of Closed Meetings
The National Institutes of Health (NIH) announces the final Genomic Data Sharing (GDS) Policy that promotes sharing, for research purposes, of large-scale human and non-human genomic \1\ data generated from NIH-funded research. A summary of public comments on the draft GDS Policy and the NIH responses are also provided.	Final NIH Genomic Data Sharing Policy
Pursuant to Section 10(a) of the Federal Advisory Committee Act, U.S.C. Appendix 2, notice is hereby given that the Secretary's Advisory Committee on Human Research Protections (SACHRP) will hold a meeting that will be open to the public. Information about SACHRP and the full meeting agenda will be posted on the SACHRP Web site at: http://www.dhhs.gov/ohrp/sachrp/mtgings/index.html.	Meeting of the Secretary's Advisory Committee on Human Research Protections
