document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2018-09362,"In accordance with the Privacy Act, we are issuing public notice of our intent to establish a new system of records entitled, Anti-Fraud Enterprise Solution (AFES) (60-0388), hereinafter called the AFES Record System. The AFES Record System is an agency-wide and overarching system that includes the ability to detect, prevent, and mitigate fraud in SSA's programs. The AFES Record System will collect and maintain personally identifiable information (PII) to assist in identifying suspicious or potentially fraudulent activities performed by individuals across all the agency's programs and service delivery methods. This notice publishes details of the system as set forth under the caption, SUPPLEMENTARY INFORMATION.",Notice of a new system of records.,"[{'raw_name': 'Social Security Administration', 'name': 'Social Security Administration', 'id': 470, 'url': 'https://www.federalregister.gov/agencies/social-security-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/470.json', 'parent_id': None, 'slug': 'social-security-administration'}]",['Social Security Administration'],2018-06-04,2018-05-03,,,Privacy Act of 1974; System of Records,[],Notice,Business Intelligence
2017-20761,,,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Employment and Training Administration', 'name': 'Employment and Training Administration', 'id': 133, 'url': 'https://www.federalregister.gov/agencies/employment-and-training-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/133.json', 'parent_id': 271, 'slug': 'employment-and-training-administration'}]","['Labor Department', 'Employment and Training Administration']",,2017-09-28,,,Notice of Determinations Regarding Eligibility To Apply for Trade Adjustment Assistance,[],Notice,Business Intelligence
2017-11935,"In accordance with the Privacy Act of 1974, the Department of Housing and Urban Development (HUD), Office of Lender Activities and Program Compliance provides public notice it proposes to establish a new system, Department of Housing and Urban Development system of records titled, ``Loan Review System (LRS)''.",Notice of a New System of Records.,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228.json', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",['Housing and Urban Development Department'],2017-07-10,2017-06-08,,,Privacy Act of 1974; System of Records: Loan Review System (LRS),[],Notice,Business Intelligence
2017-10808,"In compliance with the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, has submitted an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB) for review and approval. The ICR is for renewal of the approved information collection assigned OMB control number 0955-0009, scheduled to expire on May 31, 2017. Comments submitted during the first public review of this ICR will be provided to OMB. OMB will accept further comments from the public on this ICR during the review and approval period.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2017-05-26,,,Agency Information Collection Activities; Submission to OMB for Review and Approval; Public Comment Request,[],Notice,Business Intelligence
2017-06131,"Pursuant to section 2222 of the Economic Growth and Regulatory Paperwork Reduction Act of 1996 (EGRPRA), the Federal Financial Institutions Examination Council (FFIEC) is publishing a report entitled ``Joint Report to Congress, March 2017, Economic Growth and Regulatory Paperwork Reduction Act'' prepared by four of its constituent agencies: The Board of Governors of the Federal Reserve System (Board), the Office of the Comptroller of the Currency (OCC), the Federal Deposit Insurance Corporation (FDIC), and the National Credit Union Association (NCUA).",Notice.,"[{'raw_name': 'FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL', 'name': 'Federal Financial Institutions Examination Council', 'id': 168, 'url': 'https://www.federalregister.gov/agencies/federal-financial-institutions-examination-council', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/168.json', 'parent_id': None, 'slug': 'federal-financial-institutions-examination-council'}]",['Federal Financial Institutions Examination Council'],,2017-03-30,,,Joint Report to Congress: Economic Growth and Regulatory Paperwork Reduction Act,[],Notice,Business Intelligence
2017-05627,"In compliance with the Paperwork Reduction Act of 1995, the Office of the Secretary (OS), Department of Health and Human Services, announces plans to submit an Information Collection Request (ICR), described below, to the Office of Management and Budget (OMB). The ICR is for extending the use of the approved information collection assigned OMB control number 0955-0009 which expires on May 31, 2017. Prior to submitting the ICR to OMB, OS seeks comments from the public regarding the burden estimate, below, or any other aspect of the ICR.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2017-03-22,,,Agency Information Collection Activities; Proposed Collection; Public Comment Request,[],Notice,Business Intelligence
2017-04251,"In compliance with the Paperwork Reduction Act of 1995, and as part of a Federal Government-wide effort to streamline the process to seek feedback from the public on service delivery, the National Geospatial-Intelligence Agency announces a proposed generic information collection and seeks public comment on the provisions thereof. Comments are invited on: Whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.",Notice.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Office of the Secretary'}]","['Defense Department', 'Office of the Secretary']",,2017-03-06,,,Proposed Collection; Comment Request,[],Notice,Business Intelligence
2016-29332,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2016-12-07,,,"Office of the Assistant Secretary for Financial Resources, Statement of Organization, Functions, and Delegations of Authority",[],Notice,Business Intelligence
2016-27919,,,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2016-11-23,,,Joint Industry Plan; Order Approving the National Market System Plan Governing the Consolidated Audit Trail,[],Notice,Business Intelligence
2016-17737,"Statement of Organizations, Functions, and Delegations of Authority. The Administration for Children and Families (ACF) has reorganized the Office of the Deputy Assistant Secretary for Administration (ODASA). This reorganization moves the Office of Information Services from ODASA and establishes it as the new Office of the Chief Information Officer, which reports directly to the Assistant Secretary for Children and Families.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Administration for Children and Families', 'name': 'Children and Families Administration', 'id': 49, 'url': 'https://www.federalregister.gov/agencies/children-and-families-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/49.json', 'parent_id': 221, 'slug': 'children-and-families-administration'}]","['Health and Human Services Department', 'Children and Families Administration']",,2016-07-27,,,"Statement of Organization, Functions, and Delegations of Authority: Office of the Deputy Assistant Secretary for Administration; Office of the Assistant Secretary",[],Notice,Business Intelligence
2016-15676,"We are adopting Rule 13q-1 and an amendment to Form SD to implement Section 1504 of the Dodd-Frank Wall Street Reform and Consumer Protection Act relating to the disclosure of payments by resource extraction issuers. Rule 13q-1 was initially adopted by the Commission on August 22, 2012, but it was subsequently vacated by the U.S. District Court for the District of Columbia. Section 1504 of the Dodd-Frank Act added Section 13(q) to the Securities Exchange Act of 1934, which directs the Commission to issue rules requiring resource extraction issuers to include in an annual report information relating to any payment made by the issuer, a subsidiary of the issuer, or an entity under the control of the issuer, to a foreign government or the Federal Government for the purpose of the commercial development of oil, natural gas, or minerals. Section 13(q) requires a resource extraction issuer to provide information about the type and total amount of such payments made for each project related to the commercial development of oil, natural gas, or minerals, and the type and total amount of payments made to each government. In addition, Section 13(q) requires a resource extraction issuer to provide information about those payments in an interactive data format.",Final rule.,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2016-07-27,False,,Disclosure of Payments by Resource Extraction Issuers,"['Reporting and recordkeeping requirements', 'Securities']",Rule,Business Intelligence
2016-16064,FAS is publishing this notice to solicit comments regarding the public release of transactional data reported in accordance with the General Services Administration Acquisition Regulation (GSAR) Transactional Data Reporting clauses. GSA FAS will consider comments received in establishing its final position on which Transactional Data Reporting (TDR) data elements are releasable under the Freedom of Information Act (FOIA) and which elements will therefore be released to the general public via a public data extract.,Notice.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],,2016-07-07,,,Seeking Input on the Public Release of Data Collected Through Transactional Data Reporting,[],Notice,Business Intelligence
2016-14728,"The General Services Administration (GSA) is amending the General Services Administration Acquisition Regulation (GSAR) to include clauses that require vendors to report transactional data from orders placed against certain Federal Supply Schedule (FSS) contracts, Governmentwide Acquisition Contracts (GWACs), and Governmentwide Indefinite-Delivery, Indefinite-Quantity (IDIQ) contracts. Transactional data refers to the information generated when the Government purchases goods or services from a vendor. It includes specific details such as descriptions, part numbers, quantities, and prices paid for the items purchased. GSA has experimented with collecting transactional data through some of its contracts and found it instrumental for improving competition, lowering pricing, and increasing transparency. Accordingly, GSA will now test these principles on a broader base of its contracting programs. This move supports the Government's shift towards category management by allowing it to centrally analyze what it buys and how much it pays, and thereby identify the most efficient solutions, channels, and sources to meet its mission critical needs. GSA will introduce a new Transactional Data Reporting clause to its FSS contracts in phases, beginning with a pilot for select Schedules and Special Item Numbers. Participating vendors will no longer be subject to the existing requirements for Commercial Sales Practices (CSP) disclosures and Price Reductions clause (PRC) basis of award monitoring, resulting in a substantial burden reduction. Stakeholders have identified the CSP and PRC requirements as some of the most burdensome under the Schedules program. These actions represent the most significant change to the Schedules program in the past two decades. GSA has also created a Transactional Data Reporting clause for all new GWACs and Governmentwide IDIQ contracts and may apply the clause to any existing contracts in this class that do not contain other transactional data requirements.",Final rule.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],2016-06-23,2016-06-23,True,,General Services Administration Acquisition Regulation (GSAR); Transactional Data Reporting,['Government procurement'],Rule,Business Intelligence
2016-13625,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2016-06-09,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-TeleManagement Forum,[],Notice,Business Intelligence
2016-07785,,,"[{'raw_name': 'NEIGHBORHOOD REINVESTMENT CORPORATION', 'name': 'Neighborhood Reinvestment Corporation', 'id': 379, 'url': 'https://www.federalregister.gov/agencies/neighborhood-reinvestment-corporation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/379.json', 'parent_id': None, 'slug': 'neighborhood-reinvestment-corporation'}]",['Neighborhood Reinvestment Corporation'],,2016-04-04,,,Regular Board of Directors Meeting; Sunshine Act,[],Notice,Business Intelligence
2016-04062,"In compliance with the Paperwork Reduction Act of 1995, the National Geospatial-Intelligence Agency (NGA) announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: (a) Whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; (b) the accuracy of the agency's estimate of the burden of the proposed information collection; (c) ways to enhance the quality, utility, and clarity of the information to be collected; and (d) ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.",Notice.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Office of the Secretary'}]","['Defense Department', 'Office of the Secretary']",,2016-02-25,,,Proposed Collection; Comment Request,[],Notice,Business Intelligence
2015-32311,"The Department of the Navy proposes to add a new system of records, N05220-1, entitled ``Data Warehouse Business Intelligence System (DWBIS)'' to be used as a management tool for statistical analysis, tracking, reporting, and to increase program effectiveness; to direct the workforce education, training, skills, and experience needed to develop and deploy key Information Dominance systems for Naval and DoD programs assigned to this Command; and to analyze the correct staffing needed for key products supported by the Command. This system of records will rely on selected information collected from other authorized personnel and financial systems of records to manage the development of its Acquisition Workforce, Cyber Security, and Information Dominance workforce.",Notice to add a new System of Records.,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103.json', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Navy', 'name': 'Navy Department', 'id': 378, 'url': 'https://www.federalregister.gov/agencies/navy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/378.json', 'parent_id': 103, 'slug': 'navy-department'}]","['Defense Department', 'Navy Department']",,2015-12-23,,,Privacy Act of 1974; System of Records,[],Notice,Business Intelligence
2015-13701,"GSA proposes to update a system of records subject to the Privacy Act of 1974, as amended, 5 U.S.C. 552a.",Updated notice.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],2015-07-06,2015-06-04,,,Privacy Act of 1974; Notice of an Updated System of Records,[],Notice,Business Intelligence
2015-12674,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2015-05-27,,,Notice Pursuant to the National Cooperative Research and Production Act of 1993-Telemanagement Forum,[],Notice,Business Intelligence
2015-11534,The Federal Acquisition Service (FAS) of the General Services Administration (GSA) is publishing this notice in order to clarify the structured data elements required under the Federal Supply Schedule (FSS) program price list clause.,Notice.,"[{'raw_name': 'GENERAL SERVICES ADMINISTRATION', 'name': 'General Services Administration', 'id': 210, 'url': 'https://www.federalregister.gov/agencies/general-services-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/210.json', 'parent_id': None, 'slug': 'general-services-administration'}]",['General Services Administration'],2015-05-13,2015-05-13,,,Modernizing the Federal Supply Schedule Program: Standardization of Part Number Data,[],Notice,Business Intelligence
