document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type
2019-20826,"The NCUA Board (Board) is issuing a final rule to update, clarify, and simplify the federal credit union bylaws (FCU Bylaws). The final rule updates and conforms the FCU Bylaws to legal opinions issued by the NCUA's Office of General Counsel and provides greater flexibility to federal credit unions (FCUs). The final rule also makes other changes that are designed to remove outdated or obsolete provisions.",Final rule.,"[{'raw_name': 'NATIONAL CREDIT UNION ADMINISTRATION', 'name': 'National Credit Union Administration', 'id': 335, 'url': 'https://www.federalregister.gov/agencies/national-credit-union-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/335.json', 'parent_id': None, 'slug': 'national-credit-union-administration'}]",['National Credit Union Administration'],2020-01-02,2019-10-04,False,,Federal Credit Union Bylaws,"['Administrative practice and procedure', 'Claims', 'Credit', 'Credit unions', 'Investigations']",Rule
2019-21520,"The National Eye Institute, an institute of the National Institutes of Health, Department of Health and Human Services, is contemplating the grant of an Exclusive Patent License to practice the inventions embodied in the Patents and Patent Applications listed in the Supplementary Information section of this notice to Opsis Therapeutics, LLC, (``Opsis'') located in Madison Wisconsin and its affiliate, FUJIFILM Cellular Dynamics, Inc.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'National Institutes of Health', 'name': 'National Institutes of Health', 'id': 353, 'url': 'https://www.federalregister.gov/agencies/national-institutes-of-health', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/353.json', 'parent_id': 221, 'slug': 'national-institutes-of-health'}]","['Health and Human Services Department', 'National Institutes of Health']",,2019-10-03,,,"Prospective Grant of an Exclusive Patent License: Compositions, Devices and Processes for Production and Delivery of Cell Grafts of Manufactured Retinal Pigment Epithelium Cell(s) Alone, or in Combination With Photoreceptor Cells, and on a Biodegradable Support Scaffold Transplanted Subretinally for Intra-Ocular Ophthalmic Treatment of Conditions of Degeneration, Dysfunction or Terminal Injury of Retinal Pigment Epithelium and/or Photoreceptors in Humans",[],Notice
2019-20459,"We, the U.S. Fish and Wildlife Service (Service), determine endangered species status under the Endangered Species Act of 1973, as amended (Act), for the southern mountain caribou distinct population segment (DPS) of woodland caribou (Rangifer tarandus caribou). This determination amends the current listing of the southern Selkirk Mountains population of woodland caribou by defining the southern mountain caribou DPS. The southern mountain caribou DPS of woodland caribou consists of 17 subpopulations (15 extant and 2 extirpated). This DPS includes the currently listed southern Selkirk Mountains population of woodland caribou, a transboundary population that moves between British Columbia, Canada, and northern Idaho and northeastern Washington, United States. We have determined that the approximately 30,010 acres (12,145 hectares) designated as critical habitat on November 28, 2012, for the southern Selkirk Mountains population of woodland caribou is applicable to the U.S. portion of the endangered southern mountain caribou DPS and, as such, reaffirm the existing critical habitat for the DPS. This rule amends the listing of this DPS on the Federal List of Endangered and Threatened Wildlife.",Final rule.,"[{'raw_name': 'DEPARTMENT OF THE INTERIOR', 'name': 'Interior Department', 'id': 253, 'url': 'https://www.federalregister.gov/agencies/interior-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/253.json', 'parent_id': None, 'slug': 'interior-department'}, {'raw_name': 'Fish and Wildlife Service', 'name': 'Fish and Wildlife Service', 'id': 197, 'url': 'https://www.federalregister.gov/agencies/fish-and-wildlife-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/197.json', 'parent_id': 253, 'slug': 'fish-and-wildlife-service'}]","['Interior Department', 'Fish and Wildlife Service']",2019-11-01,2019-10-02,False,,Endangered and Threatened Wildlife; Endangered Species Status for Southern Mountain Caribou Distinct Population Segment,"['Endangered and threatened species', 'Exports', 'Imports', 'Reporting and recordkeeping requirements', 'Transportation']",Rule
2019-20736,"This final rule reforms Medicare regulations that are identified as unnecessary, obsolete, or excessively burdensome on health care providers and suppliers. This final rule also increases the ability of health care professionals to devote resources to improving patient care by eliminating or reducing requirements that impede quality patient care or that divert resources away from furnishing high quality patient care. Additionally, this rule updates fire safety standards for Medicare and Medicaid participating End-Stage Renal Disease (ESRD) facilities by adopting the 2012 edition of the Life Safety Code and the 2012 edition of the Health Care Facilities Code. Finally, this final rule updates the requirements that hospitals and Critical Access Hospitals (CAHs) must meet to participate in the Medicare and Medicaid programs. These requirements are intended to conform to current standards of practice and support improvements in quality of care, reduce barriers to care, and reduce some issues that may exacerbate workforce shortage concerns.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2019-11-29,2019-09-30,False,,"Medicare and Medicaid Programs; Regulatory Provisions To Promote Program Efficiency, Transparency, and Burden Reduction; Fire Safety Requirements for Certain Dialysis Facilities; Hospital and Critical Access Hospital (CAH) Changes To Promote Innovation, Flexibility, and Improvement in Patient Care","['Administrative practice and procedure', 'Aged', 'Family planning', 'Grant programs-health', 'Grant programs-health', 'Health care', 'Health facilities', 'Health insurance', 'Health professions', 'Health records', 'Hospice care', 'Hospitals', 'Intergovernmental relations', 'Medicaid', 'Medicare', 'Nutrition', 'Penalties', 'Reporting and recordkeeping requirements', 'Safety', 'X-rays']",Rule
2019-20732,"This final rule empowers patients to be active participants in the discharge planning process and complements efforts around interoperability that focus on the seamless exchange of patient information between health care settings by revising the discharge planning requirements that Hospitals (including Short-Term Acute-Care Hospitals, Long-Term Care Hospitals (LTCHs), Rehabilitation Hospitals, Psychiatric Hospitals, Children's Hospitals, and Cancer Hospitals), Critical Access Hospitals (CAHs), and Home Health Agencies (HHAs) must meet in order to participate in the Medicare and Medicaid programs. This final rule also implements discharge planning requirements which will give patients and their families access to information that will help them to make informed decisions about their post-acute care, while addressing their goals of care and treatment preferences, which may ultimately reduce their chances of being re-hospitalized. It also updates one provision regarding patient rights in hospitals, intended to promote innovation and flexibility and to improve patient care.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2019-11-29,2019-09-30,True,,"Medicare and Medicaid Programs; Revisions to Requirements for Discharge Planning for Hospitals, Critical Access Hospitals, and Home Health Agencies, and Hospital and Critical Access Hospital Changes to Promote Innovation, Flexibility, and Improvement in Patient Care","['Grant programs-health', 'Grant programs-health', 'Health facilities', 'Health professions', 'Hospitals', 'Medicaid', 'Medicare', 'Privacy', 'Reporting and recordkeeping requirements']",Rule
2019-20686,"OSHA is approving two additional quantitative fit testing protocols for inclusion in appendix A of the Respiratory Protection Standard. These protocols are: The modified ambient aerosol condensation nuclei counter (CNC) quantitative fit testing protocol for full-facepiece and half-mask elastomeric respirators and the modified ambient aerosol CNC quantitative fit testing protocol for filtering facepiece respirators. The protocols apply to employers in general industry, shipyard employment, and the construction industry. Both protocols are abbreviated variations of the original OSHA-approved ambient aerosol CNC quantitative fit testing protocol (often referred to as the PortaCount[supreg] protocol), but differ from the test by the exercise sets, exercise duration, and sampling sequence. These protocols will serve as alternatives to the four existing quantitative fit testing protocols already listed in appendix A of the Respiratory Protection Standard and will maintain safety and health protections for workers while providing additional flexibility and reducing compliance burdens.",Final rule.,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Occupational Safety and Health Administration', 'name': 'Occupational Safety and Health Administration', 'id': 386, 'url': 'https://www.federalregister.gov/agencies/occupational-safety-and-health-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/386.json', 'parent_id': 271, 'slug': 'occupational-safety-and-health-administration'}]","['Labor Department', 'Occupational Safety and Health Administration']",2019-09-26,2019-09-26,False,,Additional Ambient Aerosol CNC Quantitative Fit Testing Protocols: Respiratory Protection Standard,"['Hazardous substances', 'Health', 'Occupational safety and health']",Rule
2019-19309,"The Department of Education (Department or We) establishes new Institutional Accountability regulations governing the William D. Ford Federal Direct Loan (Direct Loan) Program to revise a Federal standard and a process for adjudicating borrower defenses to repayment claims for Federal student loans first disbursed on or after July 1, 2020, and provide for actions the Secretary may take to collect from schools the amount of financial loss due to successful borrower defense to repayment loan discharges. The Department also amends regulations regarding pre-dispute arbitration agreements or class action waivers as a condition of enrollment, and requires institutions to include information regarding the school's internal dispute resolution and arbitration processes as part of in the borrower's entrance counseling. We amend the Student Assistance General Provisions regulations to establish the conditions or events that have or may have an adverse, material effect on an institution's financial condition and which warrant financial protection for the Department, update the definitions of terms used to calculate an institution's composite score to conform with changes in certain accounting standards, and account for leases and long-term debt. Finally, we amend the loan discharge provisions in the Direct Loan Program.",Final rule.,"[{'raw_name': 'DEPARTMENT OF EDUCATION', 'name': 'Education Department', 'id': 126, 'url': 'https://www.federalregister.gov/agencies/education-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/126.json', 'parent_id': None, 'slug': 'education-department'}]",['Education Department'],2020-07-01,2019-09-23,False,,"Student Assistance General Provisions, Federal Family Education Loan Program, and William D. Ford Federal Direct Loan Program","['Administrative practice and procedure', 'Colleges and universities', 'Consumer protection', 'Grant programs-education', 'Loan programs-education', 'Reporting and recordkeeping requirements', 'Selective Service System', 'Student aid', 'Vocational education']",Rule
2019-20201,The Bureau of Consumer Financial Protection (Bureau) seeks comments and information to identify opportunities to utilize Tech Sprints as a means to encourage regulatory innovation and collaborate with stakeholders in developing viable solutions to regulatory compliance challenges.,Notice and request for information.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2019-09-18,,,Request for Information Regarding Tech Sprints,[],Notice
2019-19763,"The Bureau of Consumer Financial Protection (Bureau) is issuing its revised Policy on No-Action Letters (Policy), which is intended to carry out certain of the Bureau's authorities under Federal consumer financial law.",Policy guidance.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2019-09-13,,,Policy on No-Action Letters,[],Rule
2019-19811,The Bureau of Consumer Financial Protection is issuing its fourth biennial Consumer Credit Card Market Report to Congress. The report reviews developments in this consumer market since the Bureau's most recent biennial report on the same subject in 2017.,Consumer Credit Card Market Report of the Bureau of Consumer Financial Protection Bureau.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2019-09-13,,,"Consumer Credit Card Market Report of the Bureau of Consumer Financial Protection, 2019",[],Notice
2019-19715,"The FDIC plans periodically to conduct prize competitions under authority of Section 24 of the Stevenson-Wydler Technology Innovation Act of 1980 and the Federal Deposit Insurance Act. On June 25, 2019, the FDIC requested comment for 60 days from the general public, including persons who may have an interest in participating in FDIC-sponsored or co-sponsored prize competitions, and other Federal agencies to comment on the proposal, as required by the Paperwork Reduction Act of 1995 (PRA), on a proposal to create a new generic collection of information for prize competition participants. The FDIC received one comment that was supportive of the FDIC's forthcoming prize competitions but did not suggest any changes to the burden calculations associated with the generic information collection. The FDIC hereby gives notice of its plan to submit to the Office of Management and Budget (OMB) a request to approve the renewal of this collection, and again invites comment on this renewal.",Notice and request for comment.,"[{'raw_name': 'FEDERAL DEPOSIT INSURANCE CORPORATION', 'name': 'Federal Deposit Insurance Corporation', 'id': 164, 'url': 'https://www.federalregister.gov/agencies/federal-deposit-insurance-corporation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/164.json', 'parent_id': None, 'slug': 'federal-deposit-insurance-corporation'}]",['Federal Deposit Insurance Corporation'],,2019-09-12,,,Agency Information Collection Activities: Submission for OMB Review; Comment Request Re: Information Collection for Generic Clearance for Prize Competition Participation,[],Notice
2019-18941,"The Energy Policy and Conservation Act of 1975, as amended (EPCA), directs DOE to initiate a rulemaking for general service lamps (GSLs) that, among other requirements, determines whether standards in effect for general service incandescent lamps (GSILs, a subset of GSLs) should be amended. In this notice of proposed determination (NOPD), DOE has initially determined that energy conservation standards for GSILs do not need to be amended and asks for comment on this proposed determination and associated analyses and results.",Notice of proposed determination and request for comment.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2019-09-05,False,,Energy Conservation Program: Energy Conservation Standards for General Service Incandescent Lamps,[],Proposed Rule
