document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-16998,"The U.S. Department of Energy Solar Energy Technologies Office (SETO) is issuing this request for information (RFI) to solicit feedback from industry, academia, research laboratories, government agencies, and other stakeholders. This RFI will inform SETO's strategic planning on research related to the integration of distributed solar energy resources. Specifically, this RFI will inform strategies relating to the modeling, monitoring, predicting, and controlling of solar photovoltaic (PV) systems. As the penetration of solar PV on the grid grows, these strategies will become more important as grid operators consider how solar adoption impacts grid planning and operations technologies.",Request for information.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2019-08-08,,,Notice of Request for Information (RFI) on Planning and Operation Models and Data Analytics for Solar Grid Integration,[],Notice,Data Analytics
2019-16485,"This final rule updates the payment rates used under the prospective payment system (PPS) for skilled nursing facilities (SNFs) for fiscal year (FY) 2020. We also are making minor revisions to the regulation text to reflect the revised assessment schedule under the Patient Driven Payment Model (PDPM). Additionally, we are revising the definition of group therapy under the SNF PPS, and are implementing a subregulatory process for updating the code lists (International Classification of Diseases, Tenth Version (ICD-10) codes) used under PDPM. In addition, the final rule updates requirements for the SNF Quality Reporting Program (QRP) and the SNF Value-Based Purchasing (VBP) Program.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2019-10-01,2019-08-07,False,,Medicare Program; Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities; Updates to the Quality Reporting Program and Value-Based Purchasing Program for Federal Fiscal Year 2020,"['Health facilities', 'Medicare', 'Reporting and recordkeeping requirements']",Rule,Data Analytics
2019-16372,The consent agreements in these matters settle alleged violations of federal law prohibiting unfair or deceptive acts or practices. The attached Analysis to Aid Public Comment describes both the allegations in the complaint and the terms of the consent orders-- embodied in the consent agreements--that would settle these allegations.,Proposed consent agreements; Request for comment.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]",['Federal Trade Commission'],,2019-08-01,,,Aleksandr Kogan and Alexander Nix; Analysis To Aid Public Comment,[],Notice,Data Analytics
2019-15169,,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-07-17,,,"Statement of Organization, Functions, and Delegations of Authority",[],Notice,Data Analytics
2019-14869,"The DOE Office of Science (DOE-SC) is considering the launch of a multi-program basic research initiative in support of microelectronics and semiconductor sectors. The participating program offices in DOE-SC invite interested parties to provide input on the topical areas, innovation mechanisms, impact, and potential collaborations, including public-private partnerships, that could be implemented under this initiative. DOE-SC is particularly interested in ways in which unique DOE facilities, expertise and capabilities can be leveraged to support U.S. continued global innovation and leadership in this field.",Request for information (RFI).,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2019-07-12,,,Request for Information: Basic Research Initiative for Microelectronics,[],Notice,Data Analytics
2019-13891,"This document summarizes actions taken to date, requests public comment on additional subjects, and announces that CMS is releasing additional material, including study data, related to the Risk Adjustment Data Validation (RADV) provisions of the proposed rule titled ``Medicare and Medicaid Programs; Policy and Technical Changes to the Medicare Advantage, Medicare Prescription Drug Benefit, Program of All-inclusive Care for the Elderly (PACE), Medicaid Fee-For-Service, and Medicaid Managed Care Programs for Years 2020 and 2021'' that was published in the November 1, 2018 Federal Register, 83 FR 55037. The comment period for the RADV provisions of this proposed rule ends on August 28, 2019.",Proposed rule; request for additional comment; announcement of the release of additional data.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2018-11-01,2019-06-28,False,,Medicare and Medicaid Programs; Risk Adjustment Data Validation,[],Proposed Rule,Data Analytics
2019-13351,"On March 18, 2019 the National Institute for Occupational Safety and Health (NIOSH) of the Centers for Disease Control and Prevention (CDC) published a notice in the Federal Register announcing that NIOSH had recently established a research program to address the rapidly expanding area of automation and associated technologies in mining, and that NIOSH was requesting information to inform the prioritization of research to be undertaken by The Institute's Mining Program. NIOSH is seeking input on priority gaps in knowledge regarding the safety and health implications of humans working with automated equipment and associated technologies in mining, with an emphasis on worker safety and health research in which NIOSH has the comparative advantage, and is unlikely to be undertaken by other federal agencies, academia, or the private sector. Written comments were to be received by May 17, 2019. In response to a request from an interested party, NIOSH is announcing the reopening of the comment period.",Notice and reopening of comment period.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-06-24,,,Mining Automation and Safety Research Prioritization; Reopening of Comment Period,[],Notice,Data Analytics
2019-11241,"The Agency for Healthcare Research and Quality (AHRQ) is announcing a Special Emphasis Panel (SEP) meeting on AHRQ-HS-19-002, ``Using Data Analytics to Support Primary Care and Community Interventions to Improve Chronic Disease Prevention and Management and Population Health (R18).''",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Agency for Healthcare Research and Quality', 'name': 'Agency for Healthcare Research and Quality', 'id': 5, 'url': 'https://www.federalregister.gov/agencies/agency-for-healthcare-research-and-quality', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/5.json', 'parent_id': 221, 'slug': 'agency-for-healthcare-research-and-quality'}]","['Health and Human Services Department', 'Agency for Healthcare Research and Quality']",,2019-05-30,,,Notice of Meeting,[],Notice,Data Analytics
2019-06426,,,"[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2019-04-04,,,"Public Company Accounting Oversight Board; Notice of Filing of Proposed Rules on Auditing Accounting Estimates, Including Fair Value Measurements, and Amendments to PCAOB Auditing Standards",[],Notice,Data Analytics
2019-06425,,"Looking to the requirements set forth in AS 2501.17, as adopted (see AS 1105.A8b(3), as adopted); and","[{'raw_name': 'SECURITIES AND EXCHANGE COMMISSION', 'name': 'Securities and Exchange Commission', 'id': 466, 'url': 'https://www.federalregister.gov/agencies/securities-and-exchange-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/466.json', 'parent_id': None, 'slug': 'securities-and-exchange-commission'}]",['Securities and Exchange Commission'],,2019-04-04,,,Public Company Accounting Oversight Board; Notice of Filing of Proposed Rules on Amendments to Auditing Standards for Auditor's Use of the Work of Specialists,[],Notice,Data Analytics
2019-05720,,,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271.json', 'parent_id': None, 'slug': 'labor-department'}]",['Labor Department'],,2019-03-26,,,Secretary's Order 02-2019-Chief Data Officer and DOL Data Board,[],Notice,Data Analytics
2019-04926,"The National Institute for Occupational Safety and Health (NIOSH) of the Centers for Disease Control and Prevention (CDC) has recently established a research program to address the rapidly expanding area of automation and associated technologies in mining. NIOSH is requesting information to inform the prioritization of research to be undertaken by The Institute's Mining Program. NIOSH is seeking input on priority gaps in knowledge regarding the safety and health implications of humans working with automated equipment and associated technologies in mining, with an emphasis on worker safety and health research in which NIOSH has the comparative advantage, and is unlikely to be undertaken by other federal agencies, academia, or the private sector.",Request for information and comment.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Disease Control and Prevention', 'name': 'Centers for Disease Control and Prevention', 'id': 44, 'url': 'https://www.federalregister.gov/agencies/centers-for-disease-control-and-prevention', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/44.json', 'parent_id': 221, 'slug': 'centers-for-disease-control-and-prevention'}]","['Health and Human Services Department', 'Centers for Disease Control and Prevention']",,2019-03-18,,,Mining Automation and Safety Research Prioritization,[],Notice,Data Analytics
2019-04052,This document announces the release of data underlying the proposed policies regarding the use of extrapolation in Medicare Advantage (MA) Risk Adjustment Data Validation (RADV) audits and the Fee-for-Service (FFS) Adjuster.,Proposed rule; supplement.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",,2019-03-06,,,Medicare Program; Release of Data Underlying Risk Adjustment Data Validation Provisions,[],Proposed Rule,Data Analytics
2019-02224,"This proposed rule would implement certain provisions of the 21st Century Cures Act, including conditions and maintenance of certification requirements for health information technology (health IT) developers under the ONC Health IT Certification Program (Program), the voluntary certification of health IT for use by pediatric health care providers, and reasonable and necessary activities that do not constitute information blocking. The implementation of these provisions would advance interoperability and support the access, exchange, and use of electronic health information. The proposed rule would also modify the 2015 Edition health IT certification criteria and Program in additional ways to advance interoperability, enhance health IT certification, and reduce burden and costs.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Office of the Secretary']",,2019-03-04,False,,"21st Century Cures Act: Interoperability, Information Blocking, and the ONC Health IT Certification Program","['Computer technology', 'Health', 'Health care', 'Health insurance', 'Health records', 'Hospitals', 'Laboratories', 'Medicaid', 'Medicare', 'Privacy', 'Public health', 'Reporting and recordkeeping requirements']",Proposed Rule,Data Analytics
