document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2018-27716,"U.S. Customs and Border Protection (CBP) is cognizant of the need to stay modern in order to meet the challenges of an evolving trade landscape. New actors, industries, and modes of conducting business have emerged, disrupting the traditional global supply chain. To continue to effectively fulfill CBP's mission, CBP is pursuing an initiative titled ``The 21st Century Customs Framework.'' ``The 21st Century Customs Framework'' will seek to address and enhance numerous aspects of CBP's trade mission to better position CBP to operate in the 21st century trade environment. Through preliminary efforts, CBP has identified key themes for which CBP seeks public input: Emerging Roles in the Global Supply Chain, Intelligent Enforcement, Cutting-Edge Technology, Data Access and Sharing, 21st Century Processes, and Self- Funded Customs Infrastructure. To that end, CBP is announcing a public meeting to discuss these themes. CBP will use the public comments received in response to this notice to initiate discussion at the public meeting for CBP to consider possible policy, regulatory, and statutory improvements to further the trade mission. CBP is already pursuing related efforts through the Border Interagency Executive Council and the Commercial Customs Operations Advisory Committee and is ensuring coordination among these initiatives.",Notice of public meeting and request for public comments.,"[{'raw_name': 'DEPARTMENT OF HOMELAND SECURITY', 'name': 'Homeland Security Department', 'id': 227, 'url': 'https://www.federalregister.gov/agencies/homeland-security-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/227.json', 'parent_id': None, 'slug': 'homeland-security-department'}, {'raw_name': 'U.S. Customs and Border Protection', 'name': 'U.S. Customs and Border Protection', 'id': 501, 'url': 'https://www.federalregister.gov/agencies/u-s-customs-and-border-protection', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/501.json', 'parent_id': 227, 'slug': 'u-s-customs-and-border-protection'}]","['Homeland Security Department', 'U.S. Customs and Border Protection']",,2018-12-21,,,Public Meeting: 21st Century Customs Framework,[],Notice,Big Data
2018-26631,"The Bureau of the Census (Census Bureau) is publishing this notice in the Federal Register to request comments from the public and other government agencies on innovations for measuring and tracking public opinion towards the Census Bureau and the 2020 Census. The Census Bureau is looking to encourage and promote statistical, research, and methodological collaborations that seek to measure perceptions, opinions, beliefs, and attitudes toward the Census Bureau and the 2020 Census. The Census Bureau is interested in ongoing research methodologies that would be able to assess how current events affect public perception toward the Census Bureau as they unfold with the goal of making informed decisions related to the Census Bureau operations before and during the 2020 Census.",Notice and Request for Information (RFI).,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Bureau of the Census', 'name': 'Census Bureau', 'id': 42, 'url': 'https://www.federalregister.gov/agencies/census-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/42.json', 'parent_id': 54, 'slug': 'census-bureau'}]","['Commerce Department', 'Census Bureau']",,2018-12-10,,,Innovations for Public Opinion Research,[],Notice,Big Data
2018-21788,,Notice of awards process change and announcement of upcoming Small Business Innovation Research grants opportunity for FY 2019.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361.json', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]","['Commerce Department', 'National Oceanic and Atmospheric Administration']",,2018-10-09,,,Announcement for the Upcoming Small Business Innovation Research Program (SBIR) Notice of Funding Opportunity and Procurement Award Changes for Fiscal Year 2019 and Beyond,[],Notice,Big Data
2018-21720,"This workshop will focus on the R&D challenges of integrating high performance computing (HPC), big data (BD), and machine learning (ML) computing platforms to support the needs of an evolving scientific and technological landscape.",Notice of Workshop.,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2018-10-05,,,"Notice of Workshop on the Convergence of High Performance Computing, Big Data, and Machine Learning",[],Notice,Big Data
2018-16965,"In accordance with the Federal Advisory Committee Act, as amended, the National Aeronautics and Space Administration (NASA) announces a meeting of the Science Committee of the NASA Advisory Council (NAC). The meeting will be held for the purpose of soliciting, from the scientific community and other persons, scientific and technical information relevant to program planning. This Committee reports to the NAC.",Notice of meeting.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],,2018-08-08,,,NASA Advisory Council; Science Committee; Meeting,[],Notice,Big Data
2018-16608,"The Federal Trade Commission seeks comment in connection with a forthcoming series of public hearings in the fall and winter 2018 to examine whether broad-based changes in the economy, evolving business practices, new technologies, or international developments might require adjustments to competition and consumer protection law, enforcement priorities, and policy. These hearings will cover a range of issues listed in the SUPPLEMENTARY INFORMATION section below. The Commission seeks the views of consumers, business representatives, economists, lawyers, academics, information technology professionals, and other interested parties. Commenters are invited to address one or more of the following topics generally, or with respect to a specific industry.",Notice of hearings and request for comments.,"[{'raw_name': 'FEDERAL TRADE COMMISSION', 'name': 'Federal Trade Commission', 'id': 192, 'url': 'https://www.federalregister.gov/agencies/federal-trade-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/192.json', 'parent_id': None, 'slug': 'federal-trade-commission'}]",['Federal Trade Commission'],,2018-08-06,,,Hearings on Competition and Consumer Protection in the 21st Century,[],Notice,Big Data
2018-11125,The Administration for Children and Families (ACF) has realigned The Office of the Deputy Assistant Secretary for Administration (ODASA). This realignment removes the Office of the Chief Information Officer as a direct report to the Assistant Secretary for Children and Families and realigns the Office within the ODASA. It moves the National Grants Center of Excellence to the ODASA's Immediate Office. It also removes the Ethics and Facilities team from the Immediate Office of the ODASA and places the functions in the Office of Workforce Planning and Development.,Notice: Realignment of the Office of the Deputy Assistant Secretary for Administration.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Administration for Children and Families', 'name': 'Children and Families Administration', 'id': 49, 'url': 'https://www.federalregister.gov/agencies/children-and-families-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/49.json', 'parent_id': 221, 'slug': 'children-and-families-administration'}]","['Health and Human Services Department', 'Children and Families Administration']",,2018-05-24,,,"Office of the Deputy Assistant Secretary for Administration Statement of Organization, Functions, and Delegations of Authority",[],Notice,Big Data
2018-09459,,,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268.json', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Antitrust Division', 'name': 'Antitrust Division', 'id': 23, 'url': 'https://www.federalregister.gov/agencies/antitrust-division', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/23.json', 'parent_id': 268, 'slug': 'antitrust-division'}]","['Justice Department', 'Antitrust Division']",,2018-05-04,,,"Notice Pursuant to the National Cooperative Research and Production Act of 1993-ODPi, Inc.",[],Notice,Big Data
2018-08673,"In May 2017, the Commodity Futures Trading Commission (``Commission'' or ``CFTC'') launched a new initiative, LabCFTC, to spearhead the CFTC's effort to facilitate the development and implementation of market-enhancing financial technologies (``FinTech''). As part of that effort, CFTC staff are exploring opportunities to play a constructive role to stimulate innovation and leverage FinTech solutions that can enhance our regulated markets and help make the Commission more effective and efficient in satisfying its mission. The Science Prize Competition Act (``SPCA'') authorizes the CFTC to invest federal funds in science and early-stage technology research and development as well as in science, technology, engineering, and mathematics education. Under this authority, the CFTC may implement a competition and award prizes to stimulate innovation designed to advance the CFTC's mission. Accordingly, the Science Prize Competition Act may offer a useful mechanism to further the goals of LabCFTC and the CFTC's mission. This Request for Input solicits feedback on focus areas for potential prize competitions, and how competitions could best be structured and administered. The Commission welcomes all public comments.",Request for input.,"[{'raw_name': 'COMMODITY FUTURES TRADING COMMISSION', 'name': 'Commodity Futures Trading Commission', 'id': 77, 'url': 'https://www.federalregister.gov/agencies/commodity-futures-trading-commission', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/77.json', 'parent_id': None, 'slug': 'commodity-futures-trading-commission'}]",['Commodity Futures Trading Commission'],,2018-04-25,,,Request for Input on LabCFTC Prize Competitions,[],Notice,Big Data
2018-03951,"In accordance with the Federal Advisory Committee Act, as amended, the National Aeronautics and Space Administration (NASA) announces a meeting of the Science Committee of the NASA Advisory Council (NAC). This Committee reports to the NAC. The meeting will be held for the purpose of soliciting, from the scientific community and other persons, scientific and technical information relevant to program planning.",Notice of meeting.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],,2018-02-27,,,NASA Advisory Council; Science Committee; Meeting,[],Notice,Big Data
2017-26897,"The Department of Commerce, International Trade Administration (ITA), is requesting nominations for the Advisory Committee on Supply Chain Competitiveness (``The Committee''). The Committee was established under the Federal Advisory Committee Act. The Committee was first chartered on November 21, 2011, and subsequently renewed on November 20, 2013, and November 17, 2015. The Department of Commerce most recently renewed the Committee for another two-year term beginning on November 16, 2017. The Committee has functioned effectively, and the Department has an on-going need for consensus advice regarding U.S. supply chain competitiveness. The Committee advises the Secretary on the necessary elements of a comprehensive policy approach to supply chain competitiveness designed to support U.S. export growth and national economic competitiveness, encourage innovation, facilitate the movement of goods, and improve the competitiveness of U.S. supply chains for goods and services in the domestic and global economy; and provides advice to the Secretary on regulatory policies and programs and investment priorities that affect the competitiveness of U.S. supply chains. The Department is seeking nominations for the newly- rechartered Committee.",Notice of an opportunity to apply for membership on the Advisory Committee on Supply Chain Competitiveness.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'International Trade Administration', 'name': 'International Trade Administration', 'id': 261, 'url': 'https://www.federalregister.gov/agencies/international-trade-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/261.json', 'parent_id': 54, 'slug': 'international-trade-administration'}]","['Commerce Department', 'International Trade Administration']",,2017-12-13,,,Advisory Committee on Supply Chain Competitiveness Solicitation of Nominations for Membership,[],Notice,Big Data
2017-24108,"In accordance with the Federal Advisory Committee Act, as amended, the National Aeronautics and Space Administration (NASA) announces a meeting of the Science Committee of the NASA Advisory Council (NAC). This Committee reports to the NAC. The meeting will be held for the purpose of soliciting, from the scientific community and other persons, scientific and technical information relevant to program planning.",Notice of meeting.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],,2017-11-06,,,NASA Advisory Council; Science Committee; Meeting.,[],Notice,Big Data
2017-22491,"In accordance with the Federal Advisory Committee Act, the National Agricultural Statistics Service (NASS) announces a meeting of the Advisory Committee on Agriculture Statistics.",Notice of public meeting.,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12.json', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'National Agricultural Statistics Service', 'name': 'National Agricultural Statistics Service', 'id': 303, 'url': 'https://www.federalregister.gov/agencies/national-agricultural-statistics-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/303.json', 'parent_id': 12, 'slug': 'national-agricultural-statistics-service'}]","['Agriculture Department', 'National Agricultural Statistics Service']",,2017-10-17,,,Notice of the Advisory Committee on Agriculture Statistics Meeting,[],Notice,Big Data
2017-21255,"In accordance with the Federal Advisory Committee Act, as amended, the National Aeronautics and Space Administration (NASA) announces a meeting of the Ad Hoc Big Data Task Force (BDTF). This task force reports to the NASA Advisory Council's Science Committee. The meeting will be held for the purpose of soliciting and discussing, from the scientific community and other persons, scientific and technical information relevant to big data.",Notice of meeting.,"[{'raw_name': 'NATIONAL AERONAUTICS AND SPACE ADMINISTRATION', 'name': 'National Aeronautics and Space Administration', 'id': 301, 'url': 'https://www.federalregister.gov/agencies/national-aeronautics-and-space-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/301.json', 'parent_id': None, 'slug': 'national-aeronautics-and-space-administration'}]",['National Aeronautics and Space Administration'],,2017-10-04,,,NASA Advisory Council; Science Committee; Ad Hoc Task Force on Big Data; Meeting,[],Notice,Big Data
2017-21017,"The Food and Drug Administration (FDA, the Agency, or we) is announcing the following public workshop entitled ``Leveraging Quantitative Methods and Modeling to Modernize Generic Drug Development and Review.'' The purpose of the public workshop is to engage stakeholders in a discussion of current and emerging scientific approaches and applications for the conduct of quantitative modeling and simulations in generic drug development, especially for complex and locally acting products, and to gain input regarding opportunities and knowledge gaps related to the use of quantitative modeling and simulation to inform regulatory decision making through the product lifecycle. FDA will use the information gained through the workshop to support product-specific guidance development, improve pre-abbreviated new drug applications (ANDA) interactions with applicants, increase the quality and efficiency of regulatory reviews, and identify a next generation modeling and simulation toolset for complex and locally acting products.",Notice of public workshop; request for comments.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2017-10-02,,,Leveraging Quantitative Methods and Modeling To Modernize Generic Drug Development and Review; Public Workshop; Request for Comments,[],Notice,Big Data
2017-17783,"The Office of Pediatric Therapeutics, Food and Drug Administration (FDA), is announcing a public workshop entitled ``Advancing the Development of Pediatric Therapeutics (ADEPT): Application of ``Big Data'' to Pediatric Safety Studies.'' The purpose of this 2-day workshop is to understand how to access and analyze ``Big Data'' associated with safety information in the health care setting, and the utility and challenges associated with the use of ``Big Data'' to study the safety of therapeutics in children.",Notice of public workshop.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2017-08-23,,,Advancing the Development of Pediatric Therapeutics: Application of “Big Data” to Pediatric Safety Studies; Public Workshop,[],Notice,Big Data
2017-15970,"This notice announces that the Department of the Treasury's Federal Advisory Committee on Insurance (``Committee'') will convene a meeting on Thursday, August 17, 2017, in the Cash Room, 1500 Pennsylvania Avenue NW., Washington, DC 20220, from 1:00-5:00 p.m. Eastern Time. The meeting is open to the public, and the site is accessible to individuals with disabilities.",Notice of open meeting.,"[{'raw_name': 'DEPARTMENT OF THE TREASURY', 'name': 'Treasury Department', 'id': 497, 'url': 'https://www.federalregister.gov/agencies/treasury-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/497.json', 'parent_id': None, 'slug': 'treasury-department'}]",['Treasury Department'],,2017-07-28,,,Open Meeting of the Federal Advisory Committee on Insurance,[],Notice,Big Data
