document_number,abstract,action,agencies,agency_names,effective_on,publication_date,significant,subtype,title,topics,type,Search Term
2019-20201,The Bureau of Consumer Financial Protection (Bureau) seeks comments and information to identify opportunities to utilize Tech Sprints as a means to encourage regulatory innovation and collaborate with stakeholders in developing viable solutions to regulatory compliance challenges.,Notice and request for information.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2019-09-18,,,Request for Information Regarding Tech Sprints,[],Notice,Artificial Intelligence
2019-19811,The Bureau of Consumer Financial Protection is issuing its fourth biennial Consumer Credit Card Market Report to Congress. The report reviews developments in this consumer market since the Bureau's most recent biennial report on the same subject in 2017.,Consumer Credit Card Market Report of the Bureau of Consumer Financial Protection Bureau.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2019-09-13,,,"Consumer Credit Card Market Report of the Bureau of Consumer Financial Protection, 2019",[],Notice,Artificial Intelligence
2019-19763,"The Bureau of Consumer Financial Protection (Bureau) is issuing its revised Policy on No-Action Letters (Policy), which is intended to carry out certain of the Bureau's authorities under Federal consumer financial law.",Policy guidance.,"[{'raw_name': 'BUREAU OF CONSUMER FINANCIAL PROTECTION', 'name': 'Consumer Financial Protection Bureau', 'id': 573, 'url': 'https://www.federalregister.gov/agencies/consumer-financial-protection-bureau', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/573.json', 'parent_id': None, 'slug': 'consumer-financial-protection-bureau'}]",['Consumer Financial Protection Bureau'],,2019-09-13,,,Policy on No-Action Letters,[],Rule,Artificial Intelligence
2019-20053,,,"[{'raw_name': 'EXECUTIVE OFFICE OF THE PRESIDENT', 'name': 'Executive Office of the President', 'id': 538, 'url': 'https://www.federalregister.gov/agencies/executive-office-of-the-president', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/538.json', 'parent_id': None, 'slug': 'executive-office-of-the-president'}]",['Executive Office of the President'],,2019-09-13,,Proclamation,"Minority Enterprise Development Week, 2019",[],Presidential Document,Artificial Intelligence
2019-19715,"The FDIC plans periodically to conduct prize competitions under authority of Section 24 of the Stevenson-Wydler Technology Innovation Act of 1980 and the Federal Deposit Insurance Act. On June 25, 2019, the FDIC requested comment for 60 days from the general public, including persons who may have an interest in participating in FDIC-sponsored or co-sponsored prize competitions, and other Federal agencies to comment on the proposal, as required by the Paperwork Reduction Act of 1995 (PRA), on a proposal to create a new generic collection of information for prize competition participants. The FDIC received one comment that was supportive of the FDIC's forthcoming prize competitions but did not suggest any changes to the burden calculations associated with the generic information collection. The FDIC hereby gives notice of its plan to submit to the Office of Management and Budget (OMB) a request to approve the renewal of this collection, and again invites comment on this renewal.",Notice and request for comment.,"[{'raw_name': 'FEDERAL DEPOSIT INSURANCE CORPORATION', 'name': 'Federal Deposit Insurance Corporation', 'id': 164, 'url': 'https://www.federalregister.gov/agencies/federal-deposit-insurance-corporation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/164.json', 'parent_id': None, 'slug': 'federal-deposit-insurance-corporation'}]",['Federal Deposit Insurance Corporation'],,2019-09-12,,,Agency Information Collection Activities: Submission for OMB Review; Comment Request Re: Information Collection for Generic Clearance for Prize Competition Participation,[],Notice,Artificial Intelligence
2019-19402,This notice announces an open meeting of the Secretary of Energy Advisory Board (SEAB). The SEAB was reestablished pursuant to the Federal Advisory Committee Act. This notice is provided in accordance with the Act.,Notice of open meeting.,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2019-09-09,,,Secretary of Energy Advisory Board,[],Notice,Artificial Intelligence
2019-18766,"The Food and Drug Administration (FDA) is requesting nominations for voting members to serve on the Device Good Manufacturing Practice Advisory Committee (DGMPAC) and the Medical Devices Advisory Committee (MDAC) device panels in the Center for Devices and Radiological Health. This annual notice is also in accordance with the 21st Century Cures Act, which requires the Secretary of Health and Human Services (the Secretary) to provide an annual opportunity for patients, representatives of patients, and sponsors of medical devices that may be specifically the subject of a review by a classification panel to provide recommendations for individuals with appropriate expertise to fill voting member positions on classification panels. FDA seeks to include the views of women and men, members of all racial and ethnic groups, and individuals with and without disabilities on its advisory committees, and therefore, encourages nominations of appropriately qualified candidates from these groups.",Notice.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2019-08-30,,,Request for Nominations for Voting Members on Public Advisory Panels or Committees; Device Good Manufacturing Practice Advisory Committee and the Medical Devices Advisory Committee,[],Notice,Artificial Intelligence
2019-18443,"The United States Patent and Trademark Office (USPTO) is interested in gathering information on patent-related issues regarding artificial intelligence inventions for purposes of evaluating whether further examination guidance is needed to promote the reliability and predictability of patenting artificial intelligence inventions. To assist in gathering this information, the USPTO is publishing questions on artificial intelligence inventions to obtain written comments from the public. The questions are designed to cover a variety of topics from patent examination policy to whether new forms of intellectual property protection are needed.",Request for comments.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Patent and Trademark Office', 'name': 'Patent and Trademark Office', 'id': 402, 'url': 'https://www.federalregister.gov/agencies/patent-and-trademark-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/402.json', 'parent_id': 54, 'slug': 'patent-and-trademark-office'}]","['Commerce Department', 'Patent and Trademark Office']",,2019-08-27,,,Request for Comments on Patenting Artificial Intelligence Inventions,[],Notice,Artificial Intelligence
2019-17703,"The Food and Drug Administration (FDA or the Agency) is announcing the following public workshop entitled ``FDA Science Forum 2019.'' The purpose of the public workshop is to share with the public the unique scientific research and collaborative efforts of FDA's 11,000 scientists and researchers, who use novel science and technologies to inform FDA's regulatory decision-making--and drive innovation.",Notice of public workshop.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199.json', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","['Health and Human Services Department', 'Food and Drug Administration']",,2019-08-19,,,Food and Drug Administration Science Forum 2019; Public Workshop,[],Notice,Artificial Intelligence
2019-16762,"We are revising the Medicare hospital inpatient prospective payment systems (IPPS) for operating and capital-related costs of acute care hospitals to implement changes arising from our continuing experience with these systems for FY 2020 and to implement certain recent legislation. We also are making changes relating to Medicare graduate medical education (GME) for teaching hospitals and payments to critical access hospital (CAHs). In addition, we are providing the market basket update that will apply to the rate-of-increase limits for certain hospitals excluded from the IPPS that are paid on a reasonable cost basis, subject to these limits for FY 2020. We are updating the payment policies and the annual payment rates for the Medicare prospective payment system (PPS) for inpatient hospital services provided by long-term care hospitals (LTCHs) for FY 2020. In this FY 2020 IPPS/LTCH PPS final rule, we are addressing wage index disparities impacting low wage index hospitals; providing for an alternative IPPS new technology add-on payment pathway for certain transformative new devices and qualified infectious disease products; and revising the calculation of the IPPS new technology add-on payment. In addition, we are revising and clarifying our policies related to the substantial clinical improvement criterion used for evaluating applications for the new technology add-on payment under the IPPS. We are establishing new requirements or revising existing requirements for quality reporting by specific Medicare providers (acute care hospitals, PPS-exempt cancer hospitals, and LTCHs). We also are establishing new requirements and revising existing requirements for eligible hospitals and critical access hospitals (CAHs) participating in the Medicare and Medicaid Promoting Interoperability Programs. We are updating policies for the Hospital Value-Based Purchasing (VBP) Program, the Hospital Readmissions Reduction Program, and the Hospital-Acquired Condition (HAC) Reduction Program.",Final rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services']",2019-10-01,2019-08-16,False,,Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Policy Changes and Fiscal Year 2020 Rates; Quality Reporting Requirements for Specific Providers; Medicare and Medicaid Promoting Interoperability Programs Requirements for Eligible Hospitals and Critical Access Hospitals,"['Administrative practice and procedure', 'Health facilities', 'Health maintenance organizations (HMO)', 'Health professions', 'Kidney diseases', 'Medicaid', 'Medicare', 'Penalties', 'Privacy', 'Puerto Rico', 'Reporting and recordkeeping requirements']",Rule,Artificial Intelligence
2019-16107,"This proposed rule proposes revisions to the Medicare hospital outpatient prospective payment system (OPPS) and the Medicare ambulatory surgical center (ASC) payment system for CY 2020 based on our continuing experience with these systems. In this proposed rule, we describe the proposed changes to the amounts and factors used to determine the payment rates for Medicare services paid under the OPPS and those paid under the ASC payment system. In addition, this proposed rule would update and refine the requirements for the Hospital Outpatient Quality Reporting (OQR) Program and the ASC Quality Reporting (ASCQR) Program. In addition, in this proposed rule, we are proposing to establish requirements for all hospitals in the United States for making hospital standard charges available to the public; establish a process and requirements for prior authorization for certain covered outpatient department services; revise the conditions for coverage of organ procurement organizations; and revise the regulations to allow grandfathered children's hospitals-within- hospitals to increase the number of beds without resulting in the loss of grandfathered status. We also solicit comments on potential revisions to the laboratory date of service policy under the Clinical Laboratory Fee Schedule. Finally, we solicit comments on an appropriate remedy in litigation involving our OPPS payment policy for 340B- acquired drugs, which would inform future rulemaking in the event of an adverse decision on appeal in that litigation.",Proposed rule.,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221.json', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Centers for Medicare & Medicaid Services', 'name': 'Centers for Medicare & Medicaid Services', 'id': 45, 'url': 'https://www.federalregister.gov/agencies/centers-for-medicare-medicaid-services', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/45.json', 'parent_id': 221, 'slug': 'centers-for-medicare-medicaid-services'}, {'raw_name': 'Office of the Secretary'}]","['Health and Human Services Department', 'Centers for Medicare & Medicaid Services', 'Office of the Secretary']",,2019-08-09,False,,Medicare Program: Proposed Changes to Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs; Price Transparency of Hospital Standard Charges; Proposed Revisions of Organ Procurement Organizations Conditions of Coverage; Proposed Prior Authorization Process and Requirements for Certain Covered Outpatient Department Services; Potential Changes to the Laboratory Date of Service Policy; Proposed Changes to Grandfathered Children's Hospitals-Within-Hospitals,"['Administrative practice and procedure', 'Health facilities', 'Health professions', 'Hospitals', 'Kidney diseases', 'Laboratories', 'Medical devices', 'Medicare', 'Puerto Rico', 'Reporting and recordkeeping requirements', 'Rural areas', 'X-rays']",Proposed Rule,Artificial Intelligence
2019-15727,"The United States Patent and Trademark Office (Office or USPTO) proposes to set or adjust patent fees as authorized by the Leahy-Smith America Invents Act (Act or AIA), as amended by the Study of Underrepresented Classes Chasing Engineering and Science Success Act of 2018 (SUCCESS Act). The USPTO is a business-like operation where the demand for patent products and services and the cost of our operations are affected by external factors, such as the economy, legislation, court decisions, and increases in the costs of supplies and contract services, as well as internal factors, such as changes in patent examination processes and procedures. The proposed fee adjustments are needed to provide the Office with a sufficient amount of aggregate revenue to recover the aggregate cost of patent operations in future years (based on current projections) and to allow the Office to continue progress towards achieving strategic goals.",Notice of proposed rulemaking.,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54.json', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'Patent and Trademark Office', 'name': 'Patent and Trademark Office', 'id': 402, 'url': 'https://www.federalregister.gov/agencies/patent-and-trademark-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/402.json', 'parent_id': 54, 'slug': 'patent-and-trademark-office'}]","['Commerce Department', 'Patent and Trademark Office']",,2019-07-31,False,,Setting and Adjusting Patent Fees During Fiscal Year 2020,"['Administrative practice and procedure', 'Biologics', 'Courts', 'Freedom of information', 'Inventions and patents', 'Lawyers', 'Reporting and recordkeeping requirements', 'Small businesses']",Proposed Rule,Artificial Intelligence
2019-16003,This workshop will focus on the opportunities and challenges posed by the application of existing and new Artificial Intelligence (AI) techniques in the wireless spectrum context.,Notice of workshop.,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2019-07-29,,,Notice of Workshop on Artificial Intelligence & Wireless Spectrum: Opportunities and Challenges,[],Notice,Artificial Intelligence
2019-15315,"On behalf the National Science and Technology Council (NSTC) Committee on Science & Technology Enterprise, NITRD NCO requests input from all interested parties on the VIA Task Force Report: R&D Opportunities in Video & Image Analytics including from those working on Artificial Intelligence (AI) and/or VIA research and development (R&D). Responses to this Request for Information (RFI) can be general suggestions of revisions or improvements to the VIA Task Force Report, comments on the six strategic goals and objectives, and suggestions to the implementation of the strategic goals and objectives. The public input provided in response to this RFI will inform NITRD NCO, and the VIA Task Force on developing the VIA Task Force Report: R&D Opportunities in Video & Image Analytics.",Notice of Request for Information (RFI).,"[{'raw_name': 'NATIONAL SCIENCE FOUNDATION', 'name': 'National Science Foundation', 'id': 366, 'url': 'https://www.federalregister.gov/agencies/national-science-foundation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/366.json', 'parent_id': None, 'slug': 'national-science-foundation'}]",['National Science Foundation'],,2019-07-18,,,Request for Information on VIA Task Force Report: R&D Opportunities in Video & Image Analytics,[],Notice,Artificial Intelligence
2019-14869,"The DOE Office of Science (DOE-SC) is considering the launch of a multi-program basic research initiative in support of microelectronics and semiconductor sectors. The participating program offices in DOE-SC invite interested parties to provide input on the topical areas, innovation mechanisms, impact, and potential collaborations, including public-private partnerships, that could be implemented under this initiative. DOE-SC is particularly interested in ways in which unique DOE facilities, expertise and capabilities can be leveraged to support U.S. continued global innovation and leadership in this field.",Request for information (RFI).,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136.json', 'parent_id': None, 'slug': 'energy-department'}]",['Energy Department'],,2019-07-12,,,Request for Information: Basic Research Initiative for Microelectronics,[],Notice,Artificial Intelligence
2019-14618,"Under the Executive Order on Maintaining American Leadership in Artificial Intelligence (Section 5.a.i), https://www.whitehouse.gov/ presidential-actions/executive-order-maintaining-american-leadership- artificial-intelligence/, the Office of Management and Budget is inviting the public to identify needs for additional access to, or improvements in the quality of, Federal data and models that would improve the Nation's artificial intelligence (AI) research and development (R&D) and testing efforts.","Notice of request for information: Identifying Priority Access or Quality Improvements for Federal data and models for Artificial Intelligence Research and Development (R&D), and Testing.","[{'raw_name': 'OFFICE OF MANAGEMENT AND BUDGET', 'name': 'Management and Budget Office', 'id': 280, 'url': 'https://www.federalregister.gov/agencies/management-and-budget-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/280.json', 'parent_id': None, 'slug': 'management-and-budget-office'}]",['Management and Budget Office'],,2019-07-10,,,"Identifying Priority Access or Quality Improvements for Federal Data and Models for Artificial Intelligence Research and Development (R&D), and Testing; Request for Information",[],Notice,Artificial Intelligence
